Quarter,Time,Down,ToGo,Location,MIN,DET,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Vikings won the coin toss, Vikings to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Dave Rayner kicks off 70 yards, returned by Lorenzo Booker for 21 yards (tackle by Eric King)",0.000,0.340
1,14:52,1,10,MIN 21,0,0,Adrian Peterson right tackle for 1 yard (tackle by DeAndre Levy and Bobby Carpenter),0.340,-0.070
1,14:21,2,9,MIN 22,0,0,Adrian Peterson left end for 10 yards (tackle by Nathan Vasher),-0.070,1.070
1,13:45,1,10,MIN 32,0,0,Joe Webb pass complete short left to Bernard Berrian for 9 yards (tackle by Nathan Vasher). Penalty on Turk McBride: Defensive Offside (Declined),1.070,1.740
1,13:28,2,1,MIN 41,0,0,Adrian Peterson middle for -6 yards (tackle by Louis Delmas),1.740,0.230
1,12:50,3,7,MIN 35,0,0,Joe Webb pass complete short right to Bernard Berrian for 7 yards (tackle by Tye Hill),0.230,1.730
1,12:21,1,10,MIN 42,0,0,Joe Webb pass complete short left to Adrian Peterson for -8 yards (tackle by Ashlee Palmer),1.730,0.110
1,11:37,2,18,MIN 34,0,0,Adrian Peterson middle for 2 yards (tackle by DeAndre Levy and Eric King),0.110,-0.290
1,10:57,3,16,MIN 36,0,0,Joe Webb pass incomplete short right intended for Bernard Berrian,-0.290,-0.980
1,10:52,4,16,MIN 36,0,0,"Chris Kluwe punts 49 yards, returned by Stefan Logan for 10 yards (tackle by Kenny Onatolu)",-0.980,-0.610
1,10:40,1,10,DET 25,0,0,Shaun Hill pass incomplete short left intended for Maurice Morris (defended by Jared Allen),0.610,0.060
1,10:36,2,10,DET 25,0,0,Maurice Morris right end for 1 yard (tackle by Ray Edwards),0.060,-0.490
1,10:02,3,9,DET 26,0,0,"Penalty on Letroy Guion: Encroachment, 5 yards (no play)",-0.490,0.170
1,9:44,3,4,DET 31,0,0,Shaun Hill pass complete short middle to Brandon Pettigrew for 6 yards (tackle by Jamarca Sanford and Husain Abdullah),0.170,1.400
1,9:09,1,10,DET 37,0,0,"Penalty on Corey Hilliard: False Start, 5 yards (no play)",1.400,1.070
1,8:51,1,15,DET 32,0,0,Shaun Hill pass complete short right to Jerome Felton for 4 yards (tackle by Lito Sheppard and Chad Greenway),1.070,0.720
1,8:13,2,11,DET 36,0,0,Stefan Logan left end for 12 yards (tackle by Chad Greenway),0.720,2.130
1,7:31,1,10,DET 48,0,0,Shaun Hill pass complete short middle to Brandon Pettigrew for 12 yards (tackle by Chad Greenway),2.130,2.920
1,6:57,1,10,MIN 40,0,0,Shaun Hill pass complete short left to Bryant Johnson for 8 yards (tackle by Frank Walker),2.920,3.450
1,6:23,2,2,MIN 32,0,0,Shaun Hill pass complete short left to Jahvid Best for 9 yards (tackle by Antoine Winfield),3.450,4.040
1,5:42,1,10,MIN 23,0,0,Jerome Felton middle for 9 yards (tackle by Husain Abdullah),4.040,4.950
1,5:08,2,1,MIN 14,0,0,Jahvid Best left end for 6 yards (tackle by Frank Walker and E.J. Henderson),4.950,5.370
1,4:28,1,8,MIN 8,0,0,"Shaun Hill pass complete short left to Tony Scheffler for 7 yards (tackle by Ben Leber). Tony Scheffler fumbles (forced by Ben Leber), recovered by Jamarca Sanford at MIN-0",5.370,-0.280
,,,,,,,"DET challenged the fumble ruling, and the play was upheld.",,
1,4:20,1,10,MIN 20,0,0,Joe Webb pass complete short right to Jim Kleinsasser for 20 yards (tackle by Amari Spievey),0.280,1.600
1,3:45,1,10,MIN 40,0,0,Adrian Peterson middle for no gain (tackle by Ndamukong Suh),1.600,1.050
1,3:06,2,10,MIN 40,0,0,Joe Webb pass complete short middle to Adrian Peterson for 6 yards (tackle by Ashlee Palmer),1.050,1.160
1,2:25,3,4,MIN 46,0,0,Joe Webb pass complete short left to Percy Harvin for 20 yards (tackle by DeAndre Levy and Amari Spievey),1.160,3.310
1,1:43,1,10,DET 34,0,0,Joe Webb pass incomplete deep right intended for Percy Harvin (defended by Amari Spievey),3.310,2.770
1,1:36,2,10,DET 34,0,0,"Penalty on Greg Lewis: False Start, 5 yards (no play)",2.770,2.090
1,1:36,,,,0,0,Timeout #1 by Minnesota Vikings,0.000,2.090
1,1:36,2,15,DET 39,0,0,Joe Webb pass incomplete deep left intended for Lorenzo Booker,2.090,1.420
1,1:29,3,15,DET 39,0,0,Joe Webb pass complete short left to Lorenzo Booker for 6 yards (tackle by Bobby Carpenter),1.420,1.150
1,0:48,4,9,DET 33,0,0,Chris Kluwe punts 28 yards,1.150,0.380
1,0:41,1,10,DET 5,0,0,Shaun Hill pass complete short right to Nate Burleson for 12 yards (tackle by Antoine Winfield and Jamarca Sanford),-0.380,-0.060
1,0:05,1,10,DET 17,0,0,Maurice Morris middle for no gain (tackle by Kevin Williams),-0.060,-0.580
Quarter,Time,Down,ToGo,Location,MIN,DET,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,2,10,DET 17,0,0,Shaun Hill pass incomplete deep left intended for Nate Burleson,-0.580,-1.250
2,14:55,3,10,DET 17,0,0,Shaun Hill pass incomplete short right intended for Jahvid Best (defended by Kevin Williams),-1.250,-2.320
2,14:51,4,10,DET 17,0,0,"Nick Harris punts 54 yards, returned by Greg Camarillo for 3 yards (tackle by Brian Clark)",-2.320,-1.070
2,14:41,1,10,MIN 32,0,0,Adrian Peterson right end for no gain (tackle by Sammie Lee Hill),1.070,0.530
2,14:07,2,10,MIN 32,0,0,Joe Webb right tackle for 4 yards (tackle by Cliff Avril),0.530,0.370
