Unnamed: 0,MIN,DET
First Downs,16,22
Rush-Yds-TDs,24-74-0,27-107-1
Cmp-Att-Yd-TD-INT,20-32-145-0-1,28-39-258-1-1
Sacked-Yards,3-8,1-8
Net Pass Yards,137,250
Total Yards,211,357
Fumbles-Lost,0-0,1-1
Turnovers,1,2
Penalties-Yards,3-25,5-33
Third Down Conv.,6-14,9-15
Fourth Down Conv.,0-0,0-0
Time of Possession,29:08,30:52
