Unnamed: 0,DAL,NYG
First Downs,24,20
Rush-Yds-TDs,36-107-1,17-53-0
Cmp-Att-Yd-TD-INT,25-40-321-0-1,21-51-265-3-2
Sacked-Yards,4-25,2-9
Net Pass Yards,296,256
Total Yards,403,309
Fumbles-Lost,3-0,2-1
Turnovers,1,3
Penalties-Yards,11-108,10-102
Third Down Conv.,5-16,8-17
Fourth Down Conv.,0-0,0-0
Time of Possession,42:30,26:34
