Unnamed: 0,SFO,ARI
First Downs,21,25
Rush-Yds-TDs,25-137-2,24-96-1
Cmp-Att-Yd-TD-INT,25-39-256-2-0,35-49-486-3-2
Sacked-Yards,3-19,4-30
Net Pass Yards,237,456
Total Yards,374,552
Fumbles-Lost,1-0,3-2
Turnovers,0,4
Penalties-Yards,3-42,10-70
Third Down Conv.,4-13,4-14
Fourth Down Conv.,0-2,2-2
Time of Possession,31:32,38:32
