Quarter,Time,Tm,Detail,GNB,CHI
1,4:09,Bears,Eddy Pineiro 38 yard field goal,0,3
2,13:08,Packers,Jimmy Graham 8 yard pass from Aaron Rodgers (Mason Crosby kick),7,3
4,5:15,Packers,Mason Crosby 39 yard field goal,10,3
