Unnamed: 0,GNB,CHI
First Downs,13,16
Rush-Yds-TDs,22-47-0,15-46-0
Cmp-Att-Yd-TD-INT,18-30-203-1-0,26-45-228-0-1
Sacked-Yards,5-37,5-20
Net Pass Yards,166,208
Total Yards,213,254
Fumbles-Lost,1-0,0-0
Turnovers,0,1
Penalties-Yards,10-71,10-107
Third Down Conv.,2-12,3-15
Fourth Down Conv.,0-0,0-2
Time of Possession,31:03,28:57
