Unnamed: 0,SFO,HOU
First Downs,17,18
Rush-Yds-TDs,19-59-0,27-90-1
Cmp-Att-Yd-TD-INT,21-33-251-3-1,20-30-264-2-0
Sacked-Yards,2-13,2-18
Net Pass Yards,238,246
Total Yards,297,336
Fumbles-Lost,1-1,1-1
Turnovers,2,1
Penalties-Yards,11-65,7-77
Third Down Conv.,4-11,6-13
Fourth Down Conv.,0-2,0-0
Time of Possession,29:31,30:29
