Quarter,Time,Tm,Detail,OAK,NWE
1.0,11:51,Raiders,Courtney Anderson 2 yard pass from Kerry Collins (Sebastian Janikowski kick),7,0
,7:04,Patriots,Adam Vinatieri 26 yard field goal,7,3
,2:05,Patriots,Deion Branch 18 yard pass from Tom Brady (Adam Vinatieri kick),7,10
2.0,8:52,Raiders,Randy Moss 73 yard pass from Kerry Collins (Sebastian Janikowski kick),14,10
,4:49,Patriots,Tim Dwight 5 yard pass from Tom Brady (Adam Vinatieri kick),14,17
3.0,5:05,Patriots,Corey Dillon 8 yard rush (Adam Vinatieri kick failed),14,23
4.0,9:29,Patriots,Corey Dillon 2 yard rush (Adam Vinatieri kick),14,30
,3:04,Raiders,Courtney Anderson 5 yard pass from Kerry Collins (pass failed),20,30
