Quarter,Time,Tm,Detail,DAL,IND
1.0,6:09,Colts,Marlon Mack 1 yard rush (Adam Vinatieri kick),0,7
2.0,0:00,Colts,Adam Vinatieri 43 yard field goal,0,10
3.0,11:23,Colts,Marlon Mack 6 yard rush (Adam Vinatieri kick),0,17
,1:36,Colts,Adam Vinatieri 44 yard field goal,0,20
4.0,6:57,Colts,Adam Vinatieri 23 yard field goal,0,23
