Unnamed: 0,DAL,IND
First Downs,19,25
Rush-Yds-TDs,22-112-0,39-178-2
Cmp-Att-Yd-TD-INT,24-39-206-0-1,16-27-192-0-0
Sacked-Yards,3-26,0-0
Net Pass Yards,180,192
Total Yards,292,370
Fumbles-Lost,1-0,2-1
Turnovers,1,1
Penalties-Yards,9-74,6-55
Third Down Conv.,4-12,8-12
Fourth Down Conv.,1-5,0-0
Time of Possession,28:12,31:48
