Quarter,Time,Tm,Detail,STL,GNB
1.0,9:49,Rams,Torry Holt 6 yard pass from Marc Bulger (Jeff Wilkins kick),7,0
,1:38,Packers,Noah Herron 1 yard rush (Dave Rayner kick),7,7
2.0,13:12,Packers,Dave Rayner 27 yard field goal,7,10
,3:27,Rams,Kevin Curtis 3 yard pass from Marc Bulger (Jeff Wilkins kick),14,10
,0:00,Packers,Dave Rayner 32 yard field goal,14,13
3.0,3:04,Rams,Jeff Wilkins 31 yard field goal,17,13
4.0,14:53,Rams,Jeff Wilkins 26 yard field goal,20,13
,9:25,Rams,Jeff Wilkins 20 yard field goal,23,13
,6:42,Packers,Greg Jennings 46 yard pass from Brett Favre (Dave Rayner kick),23,20
