Unnamed: 0,STL,GNB
First Downs,19,20
Rush-Yds-TDs,30-118-0,26-121-1
Cmp-Att-Yd-TD-INT,18-28-220-2-0,22-39-220-1-0
Sacked-Yards,2-11,2-5
Net Pass Yards,209,215
Total Yards,327,336
Fumbles-Lost,0-0,2-2
Turnovers,0,2
Penalties-Yards,10-78,4-41
Third Down Conv.,5-13,9-16
Fourth Down Conv.,0-0,0-0
Time of Possession,30:43,29:17
