Unnamed: 0,DAL,WAS
First Downs,25,19
Rush-Yds-TDs,34-213-1,17-47-1
Cmp-Att-Yd-TD-INT,26-30-269-3-1,26-37-221-2-0
Sacked-Yards,1-8,1-13
Net Pass Yards,261,208
Total Yards,474,255
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,8-67,6-44
Third Down Conv.,7-11,2-9
Fourth Down Conv.,0-0,2-3
Time of Possession,33:22,26:38
