Quarter,Time,Tm,Detail,DAL,WAS
2.0,14:15,Redskins,Adrian Peterson 1 yard rush (Dustin Hopkins kick),0,7
,6:10,Cowboys,Devin Smith 51 yard pass from Dak Prescott (Brett Maher kick),7,7
,0:09,Cowboys,Jason Witten 2 yard pass from Dak Prescott (Brett Maher kick),14,7
3.0,9:58,Cowboys,Amari Cooper 10 yard pass from Dak Prescott (Brett Maher kick),21,7
,4:30,Redskins,Paul Richardson 9 yard pass from Case Keenum (Dustin Hopkins kick),21,14
4.0,13:51,Cowboys,Brett Maher 25 yard field goal,24,14
,5:07,Cowboys,Ezekiel Elliott 2 yard rush (Brett Maher kick),31,14
,2:17,Redskins,Terry McLaurin 1 yard pass from Case Keenum (Dustin Hopkins kick),31,21
