Quarter,Time,Down,ToGo,Location,DAL,WAS,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Cowboys won the coin toss and deferred, Redskins to receive the opening kickoff.",,
1,15:00,,,DAL 35,0,0,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
1,15:00,1,10,WAS 25,0,0,Case Keenum pass incomplete deep middle intended for Terry McLaurin (defended by Byron Jones),0.610,0.060
1,14:54,2,10,WAS 25,0,0,Case Keenum pass complete short middle to Jeremy Sprinkle for 11 yards (tackle by Jaylon Smith),0.060,1.330
1,14:10,1,10,WAS 36,0,0,Adrian Peterson right end for -4 yards (tackle by Maliek Collins),1.330,0.250
1,13:27,2,14,WAS 32,0,0,Case Keenum pass incomplete short right intended for Trey Quinn (defended by Anthony Brown),0.250,-0.430
1,13:22,3,14,WAS 32,0,0,Case Keenum pass complete short right to Chris Thompson for 10 yards (tackle by Leighton Vander Esch),-0.430,-0.590
1,12:47,4,4,WAS 42,0,0,"Tress Way punts 52 yards, returned by Randall Cobb for 4 yards (tackle by Deshazor Everett)",-0.590,0.380
1,12:35,1,10,DAL 10,0,0,Ezekiel Elliott right guard for 2 yards (tackle by Matthew Ioannidis and Jonathan Bostic),-0.380,-0.630
1,12:00,2,8,DAL 12,0,0,Dak Prescott pass complete short middle to Randall Cobb for 4 yards (tackle by Landon Collins),-0.630,-0.720
1,11:19,3,4,DAL 16,0,0,Dak Prescott pass incomplete short middle intended for Michael Gallup (defended by Jimmy Moreland),-0.720,-2.390
1,11:14,4,4,DAL 16,0,0,"Chris Jones punts 49 yards, returned by Trey Quinn for 9 yards (tackle by Jamize Olawale and Darian Thompson)",-2.390,-1.860
1,11:03,1,10,WAS 44,0,0,"Adrian Peterson left end for 5 yards (tackle by Jaylon Smith). Penalty on Jeremy Sprinkle: Offensive Holding, 10 yards (no play)",1.860,1.200
1,10:38,1,20,WAS 34,0,0,Case Keenum pass complete short left to Chris Thompson for 9 yards (tackle by Byron Jones),1.200,1.180
1,10:03,2,11,WAS 43,0,0,Case Keenum pass complete short right to Chris Thompson for 8 yards (tackle by Jaylon Smith),1.180,1.550
1,9:27,3,3,DAL 49,0,0,Case Keenum pass complete short right to Paul Richardson for no gain (tackle by Byron Jones),1.550,0.000
1,8:47,4,3,DAL 49,0,0,"Tress Way punts 39 yards, fair catch by Randall Cobb at DAL-10",0.000,0.380
1,8:40,1,10,DAL 10,0,0,Dak Prescott pass complete short left to Jason Witten for 6 yards (tackle by Montae Nicholson),-0.380,-0.230
1,8:08,2,4,DAL 16,0,0,Ezekiel Elliott left guard for 3 yards (tackle by Montez Sweat),-0.230,-0.370
1,7:37,3,1,DAL 19,0,0,Ezekiel Elliott up the middle for 15 yards (tackle by Jonathan Bostic and Montae Nicholson),-0.370,1.200
1,6:55,1,10,DAL 34,0,0,Dak Prescott pass complete short middle to Ezekiel Elliott for no gain (tackle by Cole Holcomb and Da'Ron Payne),1.200,0.660
1,6:08,2,10,DAL 34,0,0,Dak Prescott pass complete short middle to Ezekiel Elliott for 9 yards (tackle by Jonathan Bostic),0.660,1.160
1,5:24,3,1,DAL 43,0,0,Dak Prescott pass deep middle intended for Randall Cobb is intercepted by Montae Nicholson at WAS-39 and returned for 23 yards,1.160,-3.050
1,5:08,1,10,DAL 38,0,0,Adrian Peterson left end for 6 yards (tackle by Byron Jones),3.050,3.320
1,4:26,2,4,DAL 32,0,0,Adrian Peterson left guard for 4 yards (tackle by Kerry Hyder),3.320,3.710
1,3:47,1,10,DAL 28,0,0,"Case Keenum pass complete short right to Adrian Peterson for 3 yards (tackle by Jaylon Smith). Penalty on Brandon Scherff: Offensive Holding, 10 yards (no play)",3.710,3.050
1,3:16,1,20,DAL 38,0,0,Steven Sims left end for 4 yards (tackle by Xavier Woods),3.050,2.360
1,2:45,2,16,DAL 34,0,0,Steven Sims right end for 8 yards (tackle by Jaylon Smith),2.360,2.740
1,2:06,,,,,,Timeout #1 by Washington Redskins,,
1,2:06,3,8,DAL 26,0,0,Case Keenum pass complete short left to Trey Quinn for 10 yards (tackle by Jeff Heath). Penalty on Jourdan Lewis: Defensive Holding (Declined),2.740,4.510
1,1:44,1,10,DAL 16,0,0,Adrian Peterson left end for 4 yards (tackle by Byron Jones),4.510,4.570
1,1:01,2,6,DAL 12,0,0,Steven Sims left tackle for 4 yards (tackle by Jaylon Smith),4.570,4.620
1,0:22,3,2,DAL 8,0,0,Case Keenum pass complete short right to Adrian Peterson for 7 yards (tackle by Xavier Woods and Jaylon Smith),4.620,6.970
Quarter,Time,Down,ToGo,Location,DAL,WAS,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,1,DAL 1,0,0,Adrian Peterson right tackle for no gain (tackle by Kavon Frazier and Sean Lee),6.970,5.910
2,14:18,2,1,DAL 1,0,6,"Adrian Peterson right tackle for 1 yard, touchdown",5.910,7.000
2,14:15,,,DAL 15,0,7,Dustin Hopkins kicks extra point good,0.000,0.000
2,14:15,,,WAS 35,0,7,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
2,14:15,1,10,DAL 25,0,7,Ezekiel Elliott right tackle for 5 yards (tackle by Matthew Ioannidis),0.610,0.740
2,13:39,2,5,DAL 30,0,7,Dak Prescott pass incomplete short left intended for Amari Cooper (defended by Josh Norman),0.740,0.040
2,13:35,3,5,DAL 30,0,7,Dak Prescott sacked by Ryan Kerrigan for -8 yards,0.040,-1.900
2,12:57,4,13,DAL 22,0,7,"Chris Jones punts 52 yards, fair catch by Trey Quinn at WAS-26",-1.900,-0.670
2,12:49,1,10,WAS 26,0,7,Adrian Peterson left end for 10 yards (tackle by Sean Lee),0.670,1.330
2,12:08,1,10,WAS 36,0,7,Adrian Peterson left end for 2 yards (tackle by Jaylon Smith),1.330,1.060
2,11:26,2,8,WAS 38,0,7,"Case Keenum pass incomplete short middle intended for Vernon Davis (defended by Jeff Heath). Penalty on DeMarcus Lawrence: Roughing the Passer, 15 yards (no play)",1.060,2.460
2,11:22,1,10,DAL 47,0,7,"Penalty on Antwaun Woods: Encroachment, 5 yards (no play)",2.460,3.190
2,11:22,1,5,DAL 42,0,7,"Case Keenum pass complete short middle to Wendell Smallwood for 7 yards (tackle by Jaylon Smith). Penalty on Brandon Scherff: Offensive Holding, 10 yards (no play)",3.190,2.130
2,11:05,1,15,WAS 48,0,7,Wendell Smallwood left guard for 4 yards (tackle by Xavier Woods and Jaylon Smith),2.130,1.780
2,10:42,2,11,DAL 48,0,7,Case Keenum pass incomplete deep left intended for Terry McLaurin,1.780,1.090
2,10:38,3,11,DAL 48,0,7,Case Keenum sacked by Tyrone Crawford for -13 yards,1.090,-0.780
2,9:55,4,24,WAS 39,0,7,"Tress Way punts 56 yards, returned by Cedrick Wilson for no gain (tackle by Troy Apke). Penalty on C.J. Goodwin: Offensive Holding, 2 yards",-0.780,0.380
2,9:44,1,10,DAL 3,0,7,Ezekiel Elliott up the middle for 8 yards (tackle by Montae Nicholson),-0.380,-0.200
2,9:20,2,2,DAL 11,0,7,Dak Prescott up the middle for 15 yards (tackle by Montae Nicholson),-0.200,0.670
2,8:42,1,10,DAL 26,0,7,Ezekiel Elliott up the middle for 1 yard (tackle by Shaun Dion Hamilton and Landon Collins),0.670,0.270
2,8:13,2,9,DAL 27,0,7,Dak Prescott pass complete short left to Michael Gallup for 9 yards (tackle by Josh Norman),0.270,1.330
2,7:34,1,10,DAL 36,0,7,Dak Prescott pass complete short right to Michael Gallup for 10 yards (tackle by Dominique Rodgers-Cromartie),1.330,1.990
2,6:56,1,10,DAL 46,0,7,Dak Prescott pass complete short left to Randall Cobb for 3 yards (tackle by Jonathan Bostic),1.990,1.860
2,6:18,2,7,DAL 49,6,7,"Dak Prescott pass complete deep middle to Devin Smith for 51 yards, touchdown",1.860,7.000
2,6:10,,,WAS 15,7,7,Brett Maher kicks extra point good,0.000,0.000
2,6:10,,,DAL 35,7,7,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
2,6:10,1,10,WAS 25,7,7,Case Keenum pass complete short right to Adrian Peterson for no gain (tackle by Xavier Woods),0.610,0.060
2,5:25,2,10,WAS 25,7,7,Case Keenum pass complete short middle to Trey Quinn for 7 yards (tackle by Jaylon Smith and Jeff Heath),0.060,0.300
2,4:45,3,3,WAS 32,7,7,Case Keenum pass incomplete short middle intended for Trey Quinn (defended by Jeff Heath),0.300,-1.240
2,4:41,4,3,WAS 32,7,7,Tress Way punts 51 yards out of bounds,-1.240,0.060
2,4:32,1,10,DAL 17,7,7,Ezekiel Elliott right guard for 2 yards (tackle by Landon Collins and Da'Ron Payne),-0.060,-0.250
2,3:56,2,8,DAL 19,7,7,Dak Prescott pass incomplete deep left intended for Michael Gallup,-0.250,-1.000
2,3:48,3,8,DAL 19,7,7,Dak Prescott pass complete short right to Randall Cobb for 9 yards (tackle by Jimmy Moreland). Penalty on Cole Holcomb: Defensive Holding (Declined),-1.000,0.810
2,3:29,1,10,DAL 28,7,7,Ezekiel Elliott right end for 1 yard (tackle by Cole Holcomb and Matthew Ioannidis),0.810,0.400
2,3:01,2,9,DAL 29,7,7,Dak Prescott pass complete short right to Amari Cooper for 8 yards (tackle by Montae Nicholson),0.400,0.760
2,2:30,3,1,DAL 37,7,7,Dak Prescott left end for 42 yards (tackle by Josh Norman),0.760,4.170
2,2:00,1,10,WAS 21,7,7,Ezekiel Elliott right guard for 8 yards (tackle by Landon Collins),4.170,4.950
2,1:27,2,2,WAS 13,7,7,Ezekiel Elliott left guard for 3 yards (tackle by Jonathan Bostic and Montae Nicholson),4.950,4.840
2,0:49,1,10,WAS 11,7,7,"Dak Prescott pass incomplete short right intended for Blake Jarwin. Penalty on Montez Sweat: Roughing the Passer, 6 yards (no play)",4.840,6.060
2,0:44,1,5,WAS 5,7,7,Ezekiel Elliott right end for 1 yard (tackle by Jimmy Moreland),6.060,5.340
2,0:29,,,,,,Timeout #1 by Dallas Cowboys,,
2,0:29,2,4,WAS 4,7,7,Dak Prescott pass complete short right to Jason Witten for -1 yards (tackle by Cole Holcomb),5.340,4.260
2,0:20,,,,,,Timeout #2 by Dallas Cowboys,,
2,0:20,3,5,WAS 5,7,7,"Dak Prescott pass incomplete short right intended for Jason Witten. Penalty on Jimmy Moreland: Defensive Holding, 3 yards (no play)",4.260,6.740
2,0:13,1,2,WAS 2,13,7,"Dak Prescott pass complete short right to Jason Witten for 2 yards, touchdown",6.740,7.000
2,0:09,,,WAS 15,14,7,Brett Maher kicks extra point good,0.000,0.000
2,0:09,,,DAL 35,14,7,"Brett Maher kicks off 66 yards, returned by Steven Sims for 20 yards (tackle by C.J. Goodwin)",0.000,0.150
2,0:05,1,10,WAS 19,14,7,Case Keenum kneels for -1 yards,0.150,-0.560
Quarter,Time,Down,ToGo,Location,DAL,WAS,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,WAS 35,14,7,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,15:00,1,10,DAL 25,14,7,Dak Prescott pass complete short left to Amari Cooper for 8 yards (tackle by Jimmy Moreland),0.610,1.140
3,14:25,2,2,DAL 33,14,7,Ezekiel Elliott up the middle for 13 yards (tackle by Landon Collins),1.140,1.990
3,13:53,1,10,DAL 46,14,7,Ezekiel Elliott right guard for 6 yards (tackle by Landon Collins and Jonathan Bostic),1.990,2.260
3,13:19,2,4,WAS 48,14,7,Dak Prescott pass complete short right to Michael Gallup for 12 yards (tackle by Montae Nicholson),2.260,3.180
3,12:47,1,10,WAS 36,14,7,"Ezekiel Elliott left end for 7 yards (tackle by Cole Holcomb). Penalty on Connor Williams: Offensive Holding, 10 yards (no play)",3.180,2.520
3,12:17,1,20,WAS 46,14,7,Dak Prescott pass complete short right to Michael Gallup for 16 yards (tackle by Josh Norman and Cole Holcomb),2.520,3.450
3,11:48,2,4,WAS 30,14,7,Tony Pollard right guard for no gain (tackle by Ryan Anderson and Jonathan Bostic),3.450,2.740
3,11:10,3,4,WAS 30,14,7,Dak Prescott pass complete deep middle to Amari Cooper for 18 yards (tackle by Landon Collins),2.740,4.780
3,10:43,1,10,WAS 12,14,7,Ezekiel Elliott left guard for 2 yards (tackle by Cole Holcomb),4.780,4.450
3,10:04,2,8,WAS 10,20,7,"Dak Prescott pass complete short middle to Amari Cooper for 10 yards, touchdown",4.450,7.000
3,9:58,,,WAS 15,21,7,Brett Maher kicks extra point good,0.000,0.000
3,9:58,,,DAL 35,21,7,"Brett Maher kicks off 65 yards, touchback.",0.000,0.610
3,9:58,1,10,WAS 25,21,7,Adrian Peterson right end for no gain (tackle by Leighton Vander Esch),0.610,0.060
3,9:13,2,10,WAS 25,21,7,Case Keenum pass complete short middle to Vernon Davis for 9 yards (tackle by Anthony Brown),0.060,0.560
3,8:42,3,1,WAS 34,21,7,"Penalty on Christian Covington: Encroachment, 5 yards (no play)",0.560,1.530
3,8:23,1,10,WAS 39,21,7,Case Keenum pass complete deep middle to Terry McLaurin for 27 yards (tackle by Jeff Heath),1.530,3.310
3,7:35,1,10,DAL 34,21,7,Case Keenum pass incomplete short right intended for Chris Thompson,3.310,2.770
3,7:32,2,10,DAL 34,21,7,Case Keenum pass incomplete short middle intended for Vernon Davis,2.770,2.080
3,7:27,3,10,DAL 34,21,7,Case Keenum pass complete short right to Steven Sims for 3 yards (tackle by Jourdan Lewis),2.080,1.320
3,6:38,4,7,DAL 31,21,7,Case Keenum pass complete short middle to Trey Quinn for 12 yards (tackle by Anthony Brown),1.320,4.310
3,5:52,1,10,DAL 19,21,7,Case Keenum pass complete short left to Terry McLaurin for 9 yards (tackle by Byron Jones and Joe Jackson),4.310,5.360
3,5:24,2,1,DAL 10,21,7,Chris Thompson up the middle for 1 yard (tackle by Jaylon Smith),5.360,5.140
3,4:40,1,9,DAL 9,21,7,Case Keenum pass incomplete short right intended for Chris Thompson,5.140,4.380
3,4:37,2,9,DAL 9,21,13,"Case Keenum pass complete short middle to Paul Richardson for 9 yards, touchdown",4.380,7.000
3,4:30,,,DAL 15,21,14,Dustin Hopkins kicks extra point good,0.000,0.000
3,4:30,,,WAS 35,21,14,"Dustin Hopkins kicks off 65 yards, touchback.",0.000,0.610
3,4:30,1,10,DAL 25,21,14,Dak Prescott pass complete deep left to Blake Jarwin for 22 yards (tackle by Montae Nicholson),0.610,2.060
3,4:05,1,10,DAL 47,21,14,Tony Pollard left end for 9 yards (tackle by Shaun Dion Hamilton and Da'Ron Payne),2.060,2.730
3,3:32,2,1,WAS 44,21,14,Tony Pollard up the middle for 3 yards (tackle by Matthew Ioannidis),2.730,2.850
3,2:58,1,10,WAS 41,21,14,Randall Cobb left end for 7 yards (tackle by Jimmy Moreland),2.850,3.250
3,2:18,2,3,WAS 34,21,14,Dak Prescott pass complete short middle to Michael Gallup for 13 yards (tackle by Landon Collins),3.250,4.170
3,1:45,1,10,WAS 21,21,14,Dak Prescott pass complete short right to Randall Cobb for 8 yards (tackle by Matthew Ioannidis),4.170,4.950
3,1:10,2,2,WAS 13,21,14,Tony Pollard right tackle for 10 yards (tackle by Landon Collins),4.950,6.510
