Unnamed: 0,MIA,BUF
First Downs,21,21
Rush-Yds-TDs,21-100-1,30-116-2
Cmp-Att-Yd-TD-INT,28-49-274-0-3,17-29-224-1-0
Sacked-Yards,3-25,2-12
Net Pass Yards,249,212
Total Yards,349,328
Fumbles-Lost,4-0,1-0
Turnovers,3,0
Penalties-Yards,7-60,3-28
Third Down Conv.,5-16,7-15
Fourth Down Conv.,1-2,0-1
Time of Possession,32:25,27:35
