Quarter,Time,Tm,Detail,OAK,DAL
1.0,14:48,Raiders,Greg Jenkins 23 yard fumble return (Sebastian Janikowski kick),7,0
,0:43,Cowboys,DeMarco Murray 2 yard rush (Dan Bailey kick),7,7
2.0,10:13,Raiders,Rashad Jennings 1 yard rush (Sebastian Janikowski kick),14,7
,1:56,Raiders,Rashad Jennings 1 yard rush (Sebastian Janikowski kick),21,7
,0:10,Cowboys,DeMarco Murray 4 yard rush (Dan Bailey kick),21,14
3.0,5:26,Cowboys,Dez Bryant 4 yard pass from Tony Romo (Dan Bailey kick),21,21
4.0,14:20,Cowboys,DeMarco Murray 7 yard rush (Dan Bailey kick),21,28
,1:56,Cowboys,Dan Bailey 19 yard field goal,21,31
,0:35,Raiders,Sebastian Janikowski 45 yard field goal,24,31
