Unnamed: 0,OAK,DAL
First Downs,16,23
Rush-Yds-TDs,25-50-2,30-144-3
Cmp-Att-Yd-TD-INT,18-30-255-0-1,23-32-225-1-0
Sacked-Yards,0-0,2-17
Net Pass Yards,255,208
Total Yards,305,352
Fumbles-Lost,1-1,3-1
Turnovers,2,1
Penalties-Yards,10-71,6-40
Third Down Conv.,7-13,7-13
Fourth Down Conv.,0-0,0-0
Time of Possession,27:41,32:19
