Quarter,Time,Down,ToGo,Location,OAK,DAL,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Raiders won the coin toss and deferred, Cowboys to receive the opening kickoff.",,
1,15:00,,,OAK 35,6,0,"Sebastian Janikowski kicks off 74 yards, returned by Terrance Williams for 29 yards (tackle by Kaelin Burnett). Terrance Williams fumbles, recovered by Greg Jenkins at DAL-23 and returned for 23 yards, touchdown",0.000,7.000
,,,,,,,"Replay Assistant challenged the fumble ruling, and the play was upheld.",,
1,14:48,,,DAL 2,7,0,Sebastian Janikowski kicks extra point good,0.000,0.000
1,14:48,,,OAK 35,7,0,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
1,14:48,1,10,DAL 20,7,0,DeMarco Murray left end for 2 yards (tackle by Nick Roach),0.280,0.000
1,14:11,2,8,DAL 22,7,0,DeMarco Murray up the middle for 3 yards (tackle by Nick Roach),0.000,-0.300
1,13:25,3,5,DAL 25,7,0,Tony Romo pass incomplete short right intended for Miles Austin (defended by Ryan Robinson),-0.300,-1.700
1,13:20,4,5,DAL 25,7,0,"Chris Jones punts 58 yards, returned by Greg Jenkins for 5 yards (tackle by Cameron Lawrence)",-1.700,-0.410
1,13:07,1,10,OAK 22,7,0,Rashad Jennings up the middle for 1 yard (tackle by Jason Hatcher),0.410,0.000
1,12:31,2,9,OAK 23,7,0,Matt McGloin pass complete short left to Andre Holmes for 10 yards (tackle by Bruce Carter),0.000,1.140
1,11:54,1,10,OAK 33,7,0,Rashad Jennings left tackle for 3 yards (tackle by Ernie Sims and Bruce Carter),1.140,1.000
1,11:14,2,7,OAK 36,7,0,Rashad Jennings left guard for -1 yards (tackle by Jeff Heath and Bruce Carter),1.000,0.170
1,10:32,3,8,OAK 35,7,0,Matt McGloin pass incomplete deep left intended for Jacoby Ford,0.170,-1.040
1,10:26,4,8,OAK 35,7,0,"Marquette King punts 54 yards, returned by Cole Beasley for -4 yards (tackle by Chimdi Chekwa)",-1.040,0.380
1,10:13,1,10,DAL 7,7,0,Tony Romo pass complete short right to DeMarco Murray for 7 yards (tackle by Brandian Ross),-0.380,-0.250
1,9:45,2,3,DAL 14,7,0,Tony Romo pass complete short right to Miles Austin for 18 yards (tackle by Charles Woodson),-0.250,1.070
1,9:09,1,10,DAL 32,7,0,DeMarco Murray right tackle for 4 yards (tackle by Kevin Burnett),1.070,1.070
1,8:23,2,6,DAL 36,7,0,Tony Romo sacked by Nick Roach for -10 yards,1.070,-0.960
1,7:46,3,16,DAL 26,7,0,Tony Romo pass complete short middle to Lance Dunbar for 12 yards (tackle by Usama Young),-0.960,-0.850
1,7:05,4,4,DAL 38,7,0,"Chris Jones punts 50 yards, returned by Greg Jenkins for 9 yards (tackle by Ernie Sims)",-0.850,-0.340
1,6:50,1,10,OAK 21,7,0,Matt McGloin pass complete deep left to Rod Streater for 27 yards (tackle by Orlando Scandrick),0.340,2.130
1,6:12,1,10,OAK 48,7,0,Rashad Jennings up the middle for 2 yards (tackle by George Selvie),2.130,1.850
1,5:32,2,8,DAL 50,7,0,Matt McGloin pass complete short middle to Marcel Reece for 5 yards (tackle by Orlando Scandrick),1.850,1.820
1,4:51,3,3,DAL 45,7,0,Matt McGloin pass incomplete short left intended for Rashad Jennings,1.820,0.270
1,4:44,4,3,DAL 45,7,0,"Marquette King punts 45 yards, touchback",0.270,-0.280
1,4:35,1,10,DAL 20,7,0,Tony Romo pass incomplete short right intended for Dez Bryant,0.280,-0.270
