Unnamed: 0,OAK,KAN
First Downs,18,16
Rush-Yds-TDs,28-121-0,27-111-2
Cmp-Att-Yd-TD-INT,18-34-216-1-3,14-31-128-0-0
Sacked-Yards,9-63,3-23
Net Pass Yards,153,105
Total Yards,274,216
Fumbles-Lost,0-0,3-1
Turnovers,3,1
Penalties-Yards,11-68,4-20
Third Down Conv.,4-15,4-14
Fourth Down Conv.,1-1,0-0
Time of Possession,34:00,26:00
