Quarter,Time,Down,ToGo,Location,OAK,KAN,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chiefs won the coin toss, Chiefs to receive the opening kickoff.",,
1,15:00,,,OAK 35,0,0,"Sebastian Janikowski kicks off 65 yards, touchback",0.000,-0.280
1,15:00,1,10,KAN 20,0,0,Alex Smith sacked by Sio Moore for -7 yards,0.280,-1.280
1,14:19,2,17,KAN 13,0,0,Alex Smith pass complete short right to Junior Hemingway for 8 yards (tackle by Nick Roach),-1.280,-0.820
1,13:36,3,9,KAN 21,0,0,Alex Smith for 10 yards (tackle by Lamarr Houston),-0.820,1.000
1,13:01,1,10,KAN 31,0,0,Jamaal Charles up the middle for 1 yard (tackle by Vance Walker),1.000,0.600
1,12:26,2,9,KAN 32,0,0,Jamaal Charles left guard for 1 yard (tackle by Kevin Burnett),0.600,0.040
1,11:45,3,8,KAN 33,0,0,Alex Smith pass incomplete short right intended for Dexter McCluster,0.040,-1.180
1,11:41,4,8,KAN 33,0,0,"Dustin Colquitt punts 49 yards, returned by Phillip Adams for no gain",-1.180,-0.040
1,11:32,1,10,OAK 18,0,0,Terrelle Pryor pass complete short right to Darren McFadden for 2 yards (tackle by Akeem Jordan),0.040,-0.130
1,10:48,2,8,OAK 20,0,0,Darren McFadden up the middle for 2 yards (tackle by Derrick Johnson),-0.130,-0.660
1,10:06,3,6,OAK 22,0,0,Terrelle Pryor sacked by Derrick Johnson for -7 yards,-0.660,-2.440
1,9:32,4,13,OAK 15,0,0,"Marquette King punts 52 yards, returned by Dexter McCluster for no gain",-2.440,-1.140
1,9:21,1,10,KAN 33,0,0,Jamaal Charles right end for -2 yards (tackle by Tracy Porter),1.140,0.320
1,8:57,2,12,KAN 31,0,0,Alex Smith pass incomplete deep right intended for Dexter McCluster,0.320,-0.360
1,8:47,3,12,KAN 31,0,0,Alex Smith sacked by Nick Roach for -10 yards,-0.360,-1.960
1,8:10,4,22,KAN 21,0,0,"Dustin Colquitt punts 38 yards, out of bounds",-1.960,-1.660
1,8:03,1,10,OAK 41,0,0,Terrelle Pryor pass complete short middle to Denarius Moore for 15 yards (tackle by Kendrick Lewis),1.660,2.650
1,7:29,1,10,KAN 44,0,0,Darren McFadden up the middle for no gain (tackle by Derrick Johnson and Akeem Jordan),2.650,2.110
1,6:48,2,10,KAN 44,0,0,Terrelle Pryor right end for 1 yard (tackle by Mike DeVito),2.110,1.550
1,6:03,3,9,KAN 43,,,Terrelle Pryor sacked by Tamba Hali and Husain Abdullah for -7 yards,1.550,-0.060
1,5:31,4,16,,0,0,"Marquette King punts 50 yards, touchback",-0.060,-0.280
1,5:22,1,10,KAN 20,0,0,Alex Smith pass complete short left to Jamaal Charles for 10 yards (tackle by Tracy Porter),0.280,0.940
1,4:44,1,10,KAN 30,0,0,Jamaal Charles right end for 9 yards (tackle by Brandian Ross),0.940,1.610
1,4:10,2,1,KAN 39,0,0,Jamaal Charles left guard for 2 yards (tackle by Lamarr Houston),1.610,1.660
1,3:31,1,10,KAN 41,0,0,Alex Smith pass incomplete deep left intended for Dexter McCluster,1.660,1.120
1,3:25,2,10,KAN 41,0,0,"Alex Smith pass complete short right to Knile Davis for -1 yards. Knile Davis fumbles (forced by Brandian Ross), ball out of bounds at KAN-40",1.120,0.300
1,2:55,3,11,KAN 40,0,0,Alex Smith pass complete short left to Jamaal Charles for 24 yards (tackle by Brandian Ross),0.300,3.180
1,2:30,1,10,OAK 36,0,0,Alex Smith pass incomplete short right intended for Dexter McCluster (defended by Tracy Porter),3.180,2.640
1,2:24,2,10,OAK 36,0,0,Alex Smith pass incomplete deep left intended for Donnie Avery,2.640,1.950
1,2:18,3,10,OAK 36,0,0,Alex Smith sacked by Vance Walker for -6 yards,1.950,0.460
1,1:54,4,16,OAK 42,0,0,Dustin Colquitt punts 38 yards,0.460,0.380
1,1:31,1,10,OAK 4,0,0,Terrelle Pryor pass complete short left to Rod Streater for 15 yards (tackle by Kendrick Lewis),-0.380,0.150
1,0:52,1,10,OAK 19,0,0,Darren McFadden left tackle for 2 yards (tackle by Quintin Demps),0.150,-0.060
1,0:07,2,8,OAK 21,0,0,Terrelle Pryor left end for 27 yards (tackle by Sean Smith),-0.060,2.130
Quarter,Time,Down,ToGo,Location,OAK,KAN,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,OAK 48,0,0,Jacoby Ford right guard for 1 yard (tackle by Akeem Jordan),2.130,1.720
