Unnamed: 0,OAK,KAN
First Downs,20,22
Rush-Yds-TDs,35-166-2,25-142-2
Cmp-Att-Yd-TD-INT,19-31-219-1-0,23-33-244-1-0
Sacked-Yards,3-6,1-2
Net Pass Yards,213,242
Total Yards,379,384
Fumbles-Lost,0-0,1-0
Turnovers,0,0
Penalties-Yards,7-65,2-20
Third Down Conv.,8-15,4-12
Fourth Down Conv.,0-1,1-2
Time of Possession,32:07,27:53
