Unnamed: 0,TEN,MIA
First Downs,15,21
Rush-Yds-TDs,25-135-1,30-88-1
Cmp-Att-Yd-TD-INT,18-38-143-1-1,24-37-323-2-1
Sacked-Yards,2-19,1-7
Net Pass Yards,124,316
Total Yards,259,404
Fumbles-Lost,2-2,1-0
Turnovers,3,1
Penalties-Yards,5-55,4-63
Third Down Conv.,5-16,9-17
Fourth Down Conv.,0-1,0-1
Time of Possession,26:56,33:04
