Unnamed: 0,NYG,BAL
First Downs,11,23
Rush-Yds-TDs,21-51-1,44-169-0
Cmp-Att-Yd-TD-INT,10-27-154-0-2,18-34-219-4-0
Sacked-Yards,2-9,4-35
Net Pass Yards,145,184
Total Yards,196,353
Fumbles-Lost,4-4,3-1
Turnovers,6,1
Penalties-Yards,9-65,6-86
Third Down Conv.,1-9,6-17
Fourth Down Conv.,0-1,0-1
Time of Possession,20:19,39:41
