Quarter,Time,Tm,Detail,BAL,DEN
2.0,14:16,Broncos,Noah Fant 3 yard pass from Teddy Bridgewater (Brandon McManus kick),0,7
,10:24,Ravens,Latavius Murray 11 yard rush (Justin Tucker kick),7,7
,7:06,Ravens,Marquise Brown 49 yard pass from Lamar Jackson (Justin Tucker kick),14,7
,0:00,Ravens,Justin Tucker 40 yard field goal,17,7
4.0,13:37,Ravens,Justin Tucker 46 yard field goal,20,7
,1:51,Ravens,Justin Tucker 20 yard field goal,23,7
