Unnamed: 0,BAL,DEN
First Downs,20,15
Rush-Yds-TDs,30-102-1,17-106-0
Cmp-Att-Yd-TD-INT,22-37-316-1-0,19-37-178-1-1
Sacked-Yards,3-12,5-30
Net Pass Yards,304,148
Total Yards,406,254
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,6-55,4-25
Third Down Conv.,7-17,3-14
Fourth Down Conv.,0-0,0-0
Time of Possession,33:07,26:53
