Quarter,Time,Tm,Detail,BUF,PIT
2.0,14:22,Bills,Josh Allen 1 yard rush (Stephen Hauschka kick),7,0
,11:26,Steelers,Chris Boswell 49 yard field goal,7,3
3.0,11:18,Steelers,James Conner 11 yard pass from Devlin Hodges (Chris Boswell kick),7,10
4.0,12:23,Bills,Stephen Hauschka 36 yard field goal,10,10
,7:55,Bills,Tyler Kroft 14 yard pass from Josh Allen (Stephen Hauschka kick),17,10
