Unnamed: 0,BUF,PIT
First Downs,17,15
Rush-Yds-TDs,38-130-1,14-51-0
Cmp-Att-Yd-TD-INT,13-25-139-1-1,23-38-202-1-4
Sacked-Yards,1-8,4-24
Net Pass Yards,131,178
Total Yards,261,229
Fumbles-Lost,2-1,4-1
Turnovers,2,5
Penalties-Yards,8-70,6-30
Third Down Conv.,6-14,5-13
Fourth Down Conv.,1-1,0-1
Time of Possession,32:20,27:40
