Quarter,Time,Tm,Detail,ARI,DAL
2.0,12:58,Cardinals,Christian Kirk 6 yard pass from Kyler Murray (Zane Gonzalez kick),7,0
,10:31,Cardinals,Kenyan Drake 1 yard rush (Zane Gonzalez kick),14,0
,4:43,Cardinals,Christian Kirk 80 yard pass from Kyler Murray (Zane Gonzalez kick),21,0
,0:10,Cowboys,Greg Zuerlein 34 yard field goal,21,3
3.0,7:53,Cardinals,Kyler Murray 1 yard rush (Zane Gonzalez kick),28,3
4.0,8:54,Cardinals,Zane Gonzalez 26 yard field goal,31,3
,2:48,Cowboys,Amari Cooper 1 yard pass from Andy Dalton (Greg Zuerlein kick),31,10
,1:49,Cardinals,Kenyan Drake 69 yard rush (Zane Gonzalez kick),38,10
