Unnamed: 0,ARI,DAL
First Downs,22,27
Rush-Yds-TDs,35-261-3,27-97-0
Cmp-Att-Yd-TD-INT,9-24-188-2-0,34-54-266-1-2
Sacked-Yards,1-11,3-19
Net Pass Yards,177,247
Total Yards,438,344
Fumbles-Lost,0-0,3-2
Turnovers,0,4
Penalties-Yards,7-43,6-36
Third Down Conv.,7-13,6-15
Fourth Down Conv.,1-1,3-3
Time of Possession,26:23,33:37
