Quarter,Time,Down,ToGo,Location,DET,NWE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Patriots won the coin toss, Patriots to receive the opening kickoff.",,
1,15:00,,,DET 30,0,0,"Jason Hanson kicks off 63 yards, returned by Laurence Maroney for 25 yards (tackle by Kenoy Kennedy)",0.000,1.070
1,14:55,1,10,NWE 32,0,0,Tom Brady pass incomplete short right intended for Troy Brown,1.070,0.530
1,14:50,2,10,NWE 32,0,0,Corey Dillon left guard for 6 yards (tackle by Ernie Sims and Paris Lenon),0.530,0.630
1,14:11,3,4,NWE 38,0,0,Laurence Maroney left guard for 2 yards (tackle by Boss Bailey),0.630,-0.720
1,13:34,4,2,NWE 40,0,0,"Ken Walter punts 36 yards, muffed catch by Eddie Drummond, recovered by Eddie Drummond and returned for no gain",-0.720,-0.480
1,13:25,1,10,DET 23,0,0,Kevin Jones middle for 7 yards (tackle by Ty Warren and Tedy Bruschi),0.480,0.880
1,12:46,2,3,DET 30,0,0,Kevin Jones middle for -1 yards (tackle by Ty Warren),0.880,0.040
1,12:02,3,4,DET 29,0,0,Jon Kitna pass incomplete short left intended for Marcus Pollard,0.040,-1.440
1,11:58,4,4,DET 29,0,0,"Penalty on Corey Mays: Neutral Zone Infraction, 5 yards (no play)",-1.440,1.200
1,11:58,1,10,DET 34,0,0,Kevin Jones middle for no gain (tackle by Mike Vrabel and Tully Banta-Cain),1.200,0.660
1,11:20,2,10,DET 34,0,0,Jon Kitna pass incomplete short right intended for Kevin Jones,0.660,-0.030
1,11:15,3,10,DET 34,0,0,Jon Kitna pass incomplete deep middle intended for Roy Williams,-0.030,-1.110
1,11:11,4,10,DET 34,0,0,"Nick Harris punts 44 yards, returned by Kevin Faulk for 8 yards (tackle by Casey Fitzsimmons). Penalty on Larry Izzo: Offensive Holding, 10 yards",-1.110,0.350
1,11:00,1,10,NWE 12,0,0,Laurence Maroney left end for 8 yards (tackle by Boss Bailey),-0.350,0.290
1,10:32,2,2,NWE 20,0,0,Laurence Maroney right end for 1 yard (tackle by Paris Lenon),0.290,-0.370
1,9:55,3,1,NWE 21,0,0,Laurence Maroney right tackle for 3 yards (tackle by Terrence Holt and Ernie Sims),-0.370,0.540
1,9:13,1,10,NWE 24,0,0,Tom Brady pass incomplete deep left intended for Reche Caldwell,0.540,0.000
1,9:07,,,,0,0,Timeout #1 by New England Patriots,0.000,0.000
1,9:07,2,10,NWE 24,0,0,Corey Dillon right tackle for 1 yard (tackle by Fernando Bryant and Ernie Sims),0.000,-0.560
1,8:27,3,9,NWE 25,0,0,Tom Brady pass complete deep right to Reche Caldwell for 21 yards (tackle by Jon McGraw and Kenoy Kennedy),-0.560,1.990
1,7:49,1,10,NWE 46,0,0,Tom Brady pass complete deep right to Reche Caldwell for 18 yards (tackle by Fernando Bryant and Ernie Sims),1.990,3.180
1,7:29,1,10,DET 36,0,0,"Penalty on Steve Neal: False Start, 5 yards (no play)",3.180,2.850
1,7:10,1,15,DET 41,0,0,Tom Brady pass incomplete deep left intended for Reche Caldwell,2.850,1.960
1,7:03,2,15,DET 41,0,0,Tom Brady pass complete deep right to Reche Caldwell for 19 yards (tackle by Stanley Wilson),1.960,4.110
1,6:31,1,10,DET 22,0,0,Patrick Pass right tackle for 4 yards (tackle by Ernie Sims and Terrence Holt),4.110,4.130
1,5:51,2,6,DET 18,0,0,Tom Brady pass incomplete short right intended for Ben Watson,4.130,3.400
1,5:45,3,6,DET 18,0,0,Tom Brady pass complete short right to Reche Caldwell for 5 yards (tackle by Stanley Wilson),3.400,2.720
1,5:14,4,1,DET 13,0,0,Tom Brady middle for 2 yards (tackle by Ernie Sims),2.720,4.840
1,4:42,1,10,DET 11,0,0,"Corey Dillon right end for 4 yards (tackle by Kenoy Kennedy). Penalty on Nick Kaczur: Offensive Holding, 10 yards (no play)",4.840,4.170
1,4:18,1,20,DET 21,0,0,Tom Brady pass complete short middle to Daniel Graham for 9 yards (tackle by Ernie Sims and Boss Bailey),4.170,3.980
1,3:43,2,11,DET 12,0,0,Tom Brady left guard for 5 yards (tackle by Ernie Sims),3.980,3.980
1,2:57,3,6,DET 7,0,0,Tom Brady pass incomplete short right intended for Reche Caldwell,3.980,2.980
1,2:51,4,6,DET 7,0,3,Stephen Gostkowski 25 yard field goal good,2.980,3.000
1,,,,NWE 30,0,3,"Stephen Gostkowski kicks off 68 yards, returned by Eddie Drummond for 13 yards (tackle by Pierre Woods)",0.000,-0.220
1,2:41,1,10,DET 15,0,3,Jon Kitna sacked by Ty Warren for -3 yards,-0.220,-1.000
1,2:08,2,13,DET 12,0,3,Jon Kitna pass complete short left to Mike Furrey for 31 yards (tackle by Chad Scott),-1.000,1.800
1,1:40,1,10,DET 43,0,3,Jon Kitna pass complete deep left to Roy Williams for 21 yards (tackle by Chad Scott),1.800,3.180
1,1:05,1,10,NWE 36,0,3,Jon Kitna pass incomplete deep middle intended for Mike Williams,3.180,2.640
1,1:00,2,10,NWE 36,0,3,Jon Kitna pass complete short middle to Mike Furrey for 9 yards (tackle by Asante Samuel and James Sanders),2.640,3.140
1,0:25,3,1,NWE 27,0,3,Kevin Jones right end for 3 yards (tackle by Mike Vrabel),3.140,3.970
Quarter,Time,Down,ToGo,Location,DET,NWE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,NWE 24,0,3,Jon Kitna pass incomplete short left intended for Mike Furrey (defended by Richard Seymour),3.970,3.430
2,14:58,2,10,NWE 24,0,3,Jon Kitna pass incomplete short left intended for Mike Furrey,3.430,2.740
2,14:51,3,10,NWE 24,0,3,Jon Kitna pass complete short right to Kevin Jones for 17 yards (tackle by James Sanders),2.740,5.600
2,14:28,1,7,NWE 7,0,3,Kevin Jones middle for 2 yards (tackle by Ty Warren and Mike Vrabel),5.600,5.150
2,13:48,2,5,NWE 5,6,3,"Jon Kitna pass complete short right to Mike Furrey for 5 yards, touchdown",5.150,7.000
2,,,,NWE 2,7,3,Jason Hanson kicks extra point good,0.000,0.000
2,,,,DET 30,7,3,"Jason Hanson kicks off 61 yards, returned by Kevin Faulk for 27 yards (tackle by Alex Lewis)",0.000,1.330
2,13:39,1,10,NWE 36,7,3,Corey Dillon right end for 2 yards (tackle by Alex Lewis and Paris Lenon),1.330,1.060
2,12:57,2,8,NWE 38,7,3,"Corey Dillon right end for 8 yards (tackle by Daniel Bullocks). Penalty on Logan Mankins: Offensive Holding, 10 yards (no play)",1.060,-0.290
2,12:36,2,18,NWE 28,7,3,Tom Brady pass complete short left to Kevin Faulk for 5 yards (tackle by Dre' Bly),-0.290,-0.300
2,11:53,3,13,NWE 33,7,3,Tom Brady sacked by Cory Redding for -12 yards,-0.300,-1.960
2,11:17,4,25,NWE 21,7,3,"Ken Walter punts 43 yards, fair catch by Eddie Drummond",-1.960,-1.330
2,11:09,1,10,DET 36,7,3,Kevin Jones middle for 2 yards (tackle by Tedy Bruschi and Ty Warren),1.330,1.060
2,10:32,2,8,DET 38,7,3,"Jon Kitna for 9 yards. Penalty on Chad Scott: Defensive Holding, 5 yards",1.060,2.390
2,10:05,1,10,NWE 48,7,3,Kevin Jones right guard for 7 yards (tackle by Tedy Bruschi and James Sanders),2.390,2.790
2,9:30,2,3,NWE 41,7,3,Kevin Jones right guard for 1 yard (tackle by Ty Warren and Vince Wilfork),2.790,2.210
2,8:53,3,2,NWE 40,7,3,Jon Kitna pass complete short left to Corey Bradford for 12 yards (tackle by Artrell Hawkins),2.210,3.710
2,8:14,1,10,NWE 28,7,3,Kevin Jones left end for 5 yards (tackle by Mike Vrabel and Artrell Hawkins),3.710,3.840
2,7:35,2,5,NWE 23,7,3,Kevin Jones left end for 7 yards (tackle by Artrell Hawkins),3.840,4.510
2,6:53,1,10,NWE 16,7,3,Jon Kitna pass complete short left to Mike Furrey for 7 yards (tackle by Ellis Hobbs),4.510,5.160
2,6:11,2,3,NWE 9,7,3,Jon Kitna pass complete short left to Mike Furrey for 5 yards (tackle by Artrell Hawkins and Chad Scott),5.160,6.280
2,6:11,1,4,NWE 4,7,3,"Kevin Jones right guard for no gain (tackle by Artrell Hawkins). Kevin Jones fumbles (forced by Artrell Hawkins), recovered by Mike Vrabel at NWE-2 (tackle by Cory Schlesinger)",6.280,0.380
2,5:28,1,10,NWE 2,7,3,Corey Dillon left tackle for 3 yards (tackle by Kenoy Kennedy and Marcus Bell),-0.380,-0.560
2,4:51,2,7,NWE 5,7,3,"Tom Brady pass incomplete short right intended for Troy Brown (defended by Dre' Bly). Penalty on Dre' Bly: Illegal Contact, 5 yards (no play)",-0.560,-0.380
2,4:47,1,10,NWE 10,7,3,Tom Brady pass complete short right to Corey Dillon for 5 yards (tackle by Dre' Bly),-0.380,-0.350
2,4:25,2,5,NWE 15,7,3,"Patrick Pass left guard for 4 yards (tackle by Corey Smith). Patrick Pass fumbles (forced by Corey Smith), recovered by Dre' Bly at NWE-19 and returned for 5 yards (tackle by Steve Neal)",-0.350,-4.650
2,4:17,1,10,NWE 14,7,3,Kevin Jones right guard for 3 yards (tackle by Ty Warren and James Sanders),4.650,4.520
2,3:35,2,7,NWE 11,7,3,Jon Kitna pass incomplete short middle intended for Dan Campbell,4.520,3.620
2,3:31,3,7,NWE 11,7,3,Jon Kitna pass incomplete short right intended for Roy Williams (defended by Asante Samuel),3.620,2.700
2,3:23,4,7,NWE 11,10,3,Jason Hanson 29 yard field goal good,2.700,3.000
2,,,,DET 30,10,3,"Jason Hanson kicks off 64 yards, returned by Kevin Faulk for 21 yards (tackle by Alex Lewis)",0.000,0.740
