Unnamed: 0,DET,NWE
First Downs,22,23
Rush-Yds-TDs,22-77-0,24-79-3
Cmp-Att-Yd-TD-INT,22-38-314-1-3,27-38-305-0-1
Sacked-Yards,5-30,2-21
Net Pass Yards,284,284
Total Yards,361,363
Fumbles-Lost,3-2,3-2
Turnovers,5,3
Penalties-Yards,7-70,10-72
Third Down Conv.,5-12,4-9
Fourth Down Conv.,0-0,1-1
Time of Possession,30:43,29:17
