Unnamed: 0,TEN,IND
First Downs,20,18
Rush-Yds-TDs,27-97-0,28-76-1
Cmp-Att-Yd-TD-INT,25-38-290-2-0,15-28-262-2-1
Sacked-Yards,5-36,2-11
Net Pass Yards,254,251
Total Yards,351,327
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,11-109,8-70
Third Down Conv.,5-14,5-12
Fourth Down Conv.,1-3,1-1
Time of Possession,31:01,28:59
