Unnamed: 0,OAK,SDG
First Downs,20,20
Rush-Yds-TDs,41-191-1,15-75-0
Cmp-Att-Yd-TD-INT,14-21-299-2-1,23-47-274-2-1
Sacked-Yards,1-1,6-35
Net Pass Yards,298,239
Total Yards,489,314
Fumbles-Lost,1-1,2-1
Turnovers,2,2
Penalties-Yards,7-45,6-31
Third Down Conv.,4-10,5-16
Fourth Down Conv.,0-1,1-1
Time of Possession,32:37,27:23
