Quarter,Time,Down,ToGo,Location,OAK,SDG,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Chargers won the coin toss and deferred, Raiders to receive the opening kickoff.",,
1,15:00,,,SDG 35,0,0,"Nick Novak kicks off 65 yards, touchback",0.000,0.280
1,15:00,1,10,OAK 20,0,0,Carson Palmer pass incomplete short left intended for Marcel Reece (defended by Paul Oliver),0.280,-0.270
1,14:57,2,10,OAK 20,0,0,Michael Bush left tackle for no gain (tackle by Antonio Garay),-0.270,-0.960
1,14:12,3,10,OAK 20,0,0,Carson Palmer pass incomplete short right intended for Denarius Moore (defended by Quentin Jammer),-0.960,-2.030
1,14:06,4,10,OAK 20,0,0,"Shane Lechler punts 60 yards, returned by Patrick Crayton for no gain. Patrick Crayton fumbles, recovered by Marcus Gilchrist at SDG-20 (tackle by Shane Lechler)",-2.030,-2.920
1,13:49,1,10,OAK 40,0,0,Philip Rivers pass complete short right to Vincent Brown for 13 yards (tackle by Kamerion Wimbley and Stanford Routt),2.920,3.780
1,13:09,1,10,OAK 27,0,0,Ryan Mathews left end for 16 yards (tackle by Stanford Routt),3.780,4.840
1,12:41,1,10,OAK 11,0,0,"Ryan Mathews left end for no gain (tackle by Rolando McClain). Penalty on Kory Sperry: Illegal Formation, 5 yards (no play)",4.840,4.340
1,12:17,1,15,OAK 16,0,0,Ryan Mathews left end for -5 yards (tackle by Desmond Bryant),4.340,2.940
1,11:35,2,20,OAK 21,0,0,Philip Rivers pass complete short left to Ryan Mathews for 19 yards (tackle by Stanford Routt and Aaron Curry),2.940,5.120
1,10:49,3,1,OAK 2,0,0,Philip Rivers pass incomplete short left intended for Kory Sperry,5.120,3.250
1,10:44,4,1,OAK 2,0,3,Nick Novak 20 yard field goal good,3.250,3.000
1,,,,SDG 35,0,3,"Nick Novak kicks off 71 yards, returned by Jacoby Ford for 19 yards (tackle by Eric Weddle)",0.000,-0.320
1,10:30,1,10,OAK 13,0,3,Michael Bush left end for 44 yards (tackle by Eric Weddle),-0.320,2.720
1,10:02,1,10,SDG 43,0,3,Michael Bush up the middle for 5 yards (tackle by Donald Butler),2.720,2.850
1,9:25,2,5,SDG 38,0,3,Michael Bush up the middle for 2 yards (tackle by Paul Oliver and Antonio Garay),2.850,2.410
1,8:47,,,,0,3,Timeout #1 by Oakland Raiders,0.000,2.410
1,8:47,3,3,SDG 36,0,3,Michael Bush left tackle for 2 yards (tackle by Eric Weddle and Vaughn Martin),2.410,1.100
1,8:01,4,1,SDG 34,0,3,Shane Lechler pass incomplete deep right intended for Jacoby Ford (defended by Quentin Jammer),1.100,-1.200
1,7:55,1,10,SDG 34,0,3,Philip Rivers pass incomplete,1.200,0.660
1,7:49,2,10,SDG 34,0,3,Ryan Mathews left tackle for 4 yards (tackle by Tommy Kelly and Rolando McClain),0.660,0.500
1,7:20,3,6,SDG 38,0,3,Philip Rivers pass incomplete short middle intended for Mike Tolbert,0.500,-0.850
1,7:16,4,6,SDG 38,0,3,"Mike Scifres punts 46 yards, returned by Denarius Moore for -2 yards (tackle by Darrell Stuckey)",-0.850,0.280
1,7:06,1,10,OAK 14,0,3,Michael Bush up the middle for 3 yards (tackle by Tommie Harris and Na'il Diggs),-0.280,-0.370
1,6:42,2,7,OAK 17,0,3,"Penalty on Vaughn Martin: Encroachment, 5 yards (no play)",-0.370,0.420
1,6:22,2,2,OAK 22,0,3,Michael Bush left tackle for 2 yards (tackle by Takeo Spikes),0.420,0.540
1,5:42,1,10,OAK 24,0,3,Michael Bush up the middle for 2 yards (tackle by Antwan Barnes),0.540,0.270
1,5:09,2,8,OAK 26,0,3,Carson Palmer pass complete deep left to Jacoby Ford for 41 yards (tackle by Dante Hughes),0.270,3.380
1,4:21,1,10,SDG 33,0,3,Michael Bush left end for 4 yards (tackle by Na'il Diggs),3.380,3.380
1,3:37,2,6,SDG 29,0,3,Carson Palmer pass complete short left to T.J. Houshmandzadeh for 7 yards (tackle by Antoine Cason),3.380,4.110
1,2:57,1,10,SDG 22,0,3,Michael Bush up the middle for 9 yards (tackle by Takeo Spikes),4.110,5.060
1,2:23,2,1,SDG 13,0,3,Michael Bush up the middle for 2 yards (tackle by Donald Butler and Takeo Spikes),5.060,4.840
1,1:47,1,10,SDG 11,0,3,"Michael Bush left end for 1 yard (tackle by Donald Butler). Penalty on Corey Liuget: Illegal Use of Hands, 5 yards",4.840,6.060
1,1:29,1,5,SDG 5,0,3,Marcel Reece up the middle for 3 yards (tackle by Eric Weddle and Corey Liuget),6.060,5.720
1,0:47,2,2,SDG 2,6,3,"Michael Bush up the middle for 2 yards, touchdown",5.720,7.000
1,,,,SDG 2,7,3,Sebastian Janikowski kicks extra point good,0.000,0.000
1,,,,OAK 35,7,3,"Sebastian Janikowski kicks off 57 yards, returned by Marcus Gilchrist for 20 yards (tackle by Jerome Boyd)",0.000,0.810
1,0:35,1,10,SDG 28,7,3,Philip Rivers pass incomplete short right intended for Ryan Mathews,0.810,0.260
1,0:30,2,10,SDG 28,7,3,Ryan Mathews left tackle for 2 yards (tackle by John Henderson and Rolando McClain),0.260,-0.160
Quarter,Time,Down,ToGo,Location,OAK,SDG,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,3,8,SDG 30,7,3,Philip Rivers sacked by Kamerion Wimbley for -5 yards,-0.160,-1.700
2,14:36,4,13,SDG 25,7,3,Mike Scifres punts 50 yards,-1.700,-0.610
2,14:27,1,10,OAK 25,7,3,Taiwan Jones up the middle for 4 yards (tackle by Travis LaBoy),0.610,0.600
2,13:52,2,6,OAK 29,7,3,Taiwan Jones right end for 12 yards (tackle by Eric Weddle),0.600,1.660
2,13:20,1,10,OAK 41,7,3,Carson Palmer pass complete deep right to Denarius Moore for 46 yards (tackle by Quentin Jammer),1.660,4.710
2,12:46,1,10,SDG 13,7,3,Taiwan Jones right end for 3 yards (tackle by Travis LaBoy),4.710,4.580
2,12:25,2,7,SDG 10,7,3,Carson Palmer pass complete short right to Brandon Myers for 5 yards (tackle by Paul Oliver and Quentin Jammer),4.580,4.780
2,11:46,3,2,SDG 5,7,3,Michael Bush left tackle for no gain (tackle by Vaughn Martin and Jacques Cesaire),4.780,3.030
2,11:05,4,2,SDG 5,10,3,Sebastian Janikowski 23 yard field goal good,3.030,3.000
2,,,,OAK 35,10,3,"Sebastian Janikowski kicks off 51 yards, returned by Marcus Gilchrist for 14 yards (tackle by Jerome Boyd)",0.000,0.810
2,10:57,1,10,SDG 28,10,3,Mike Tolbert right tackle for 3 yards (tackle by John Henderson),0.810,0.670
2,10:19,2,7,SDG 31,10,3,Philip Rivers pass complete short right to Mike Tolbert for 3 yards (tackle by Lito Sheppard),0.670,0.370
2,9:39,3,4,SDG 34,10,3,Philip Rivers pass incomplete short middle intended for Vincent Brown (defended by Michael Mitchell),0.370,-1.110
2,9:34,4,4,SDG 34,10,3,"Mike Scifres punts 65 yards, returned by Denarius Moore for 9 yards (tackle by Antwan Barnes). Penalty on Bront Bird: Ineligible Downfield Kick, 5 yards (no play)",-1.110,-1.440
2,9:19,4,9,SDG 29,10,3,"Mike Scifres punts 71 yards, touchback",-1.440,-0.280
2,9:07,1,10,OAK 20,10,3,Michael Bush up the middle for 4 yards (tackle by Vaughn Martin and Paul Oliver),0.280,0.270
2,8:31,2,6,OAK 24,10,3,Carson Palmer pass complete short left to Denarius Moore for 7 yards (tackle by Antoine Cason and Paul Oliver),0.270,1.000
2,8:11,1,10,OAK 31,10,3,Carson Palmer pass complete short middle to Michael Bush for 7 yards (tackle by Donald Butler),1.000,1.410
2,7:36,2,3,OAK 38,10,3,Michael Bush right tackle for 5 yards (tackle by Dante Hughes),1.410,1.800
