Quarter,Time,Tm,Detail,OAK,SDG
1.0,10:40,Chargers,Nick Novak 20 yard field goal,0,3
,0:41,Raiders,Michael Bush 2 yard rush (Sebastian Janikowski kick),7,3
2.0,11:02,Raiders,Sebastian Janikowski 23 yard field goal,10,3
,1:51,Raiders,Denarius Moore 33 yard pass from Carson Palmer (Sebastian Janikowski kick),17,3
3.0,11:48,Chargers,Vincent Brown 30 yard pass from Philip Rivers (Nick Novak kick),17,10
,9:01,Raiders,Denarius Moore 26 yard pass from Carson Palmer (Sebastian Janikowski kick),24,10
,0:00,Chargers,Jacob Hester 7 yard pass from Philip Rivers (Nick Novak kick),24,17
