Unnamed: 0,PIT,NWE
First Downs,24,33
Rush-Yds-TDs,20-108-0,35-197-3
Cmp-Att-Yd-TD-INT,28-48-400-4-2,23-33-432-4-0
Sacked-Yards,5-29,3-19
Net Pass Yards,371,413
Total Yards,479,610
Fumbles-Lost,1-1,1-1
Turnovers,3,1
Penalties-Yards,8-96,3-30
Third Down Conv.,5-13,7-12
Fourth Down Conv.,1-3,0-1
Time of Possession,31:12,28:48
