Quarter,Time,Tm,Detail,PIT,CLE
1.0,9:29,Browns,Nick Chubb 47 yard rush (Cody Parkey kick),0,7
2.0,9:45,Browns,Cody Parkey 23 yard field goal,0,10
,4:10,Steelers,Matthew Wright 29 yard field goal,3,10
,1:07,Steelers,Matthew Wright 46 yard field goal,6,10
3.0,8:29,Steelers,Matthew Wright 46 yard field goal,9,10
,3:48,Browns,Austin Hooper 2 yard pass from Baker Mayfield (Cody Parkey kick),9,17
4.0,14:57,Browns,Jarvis Landry 3 yard rush (Cody Parkey kick),9,24
,10:07,Steelers,Chase Claypool 28 yard pass from Mason Rudolph (Matthew Wright kick),16,24
,1:23,Steelers,JuJu Smith-Schuster 2 yard pass from Mason Rudolph (pass failed),22,24
