Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
James Conner,PIT,9,37,0,2,21,2.3,16,1.8,2,4.5
Anthony McFarland Jr.,PIT,5,17,0,1,2,0.4,15,3.0,1,5.0
Benny Snell Jr.,PIT,3,10,0,1,1,0.3,9,3.0,1,3.0
Joshua Dobbs,PIT,2,20,0,1,20,10.0,0,0.0,0,
Mason Rudolph,PIT,1,1,0,0,1,1.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Nick Chubb,CLE,14,108,1,3,57,4.1,51,3.6,2,7.0
Kareem Hunt,CLE,10,37,0,,26,2.6,11,1.1,1,10.0
Baker Mayfield,CLE,6,44,0,4,44,7.3,0,0.0,0,
Jarvis Landry,CLE,1,3,1,1,1,1.0,2,2.0,0,
