Unnamed: 0,PIT,CLE
First Downs,18,21
Rush-Yds-TDs,20-85-0,31-192-2
Cmp-Att-Yd-TD-INT,26-44-317-2-1,17-27-196-1-0
Sacked-Yards,1-8,4-30
Net Pass Yards,309,166
Total Yards,394,358
Fumbles-Lost,0-0,0-0
Turnovers,1,0
Penalties-Yards,2-15,4-19
Third Down Conv.,8-17,6-12
Fourth Down Conv.,2-2,0-2
Time of Possession,27:50,32:10
