Unnamed: 0,SDG,IND
First Downs,18,16
Rush-Yds-TDs,34-129-1,13-24-0
Cmp-Att-Yd-TD-INT,19-23-185-0-0,31-48-285-2-4
Sacked-Yards,2-13,1-6
Net Pass Yards,172,279
Total Yards,301,303
Fumbles-Lost,0-0,1-1
Turnovers,0,5
Penalties-Yards,4-40,1-15
Third Down Conv.,0-8,3-12
Fourth Down Conv.,0-0,1-2
Time of Possession,35:38,24:22
