Quarter,Time,Tm,Detail,SDG,IND
1.0,9:16,Colts,Jacob Tamme 4 yard pass from Peyton Manning (Adam Vinatieri kick),0,7
,3:22,Chargers,Nate Kaeding 28 yard field goal,3,7
,2:00,Chargers,Kevin Burnett 29 yard interception return (Nate Kaeding kick),10,7
2.0,10:04,Chargers,Nate Kaeding 33 yard field goal,13,7
,4:39,Chargers,Nate Kaeding 50 yard field goal,16,7
,0:22,Colts,Blair White 6 yard pass from Peyton Manning (Adam Vinatieri kick),16,14
3.0,9:18,Chargers,Nate Kaeding 30 yard field goal,19,14
,8:21,Chargers,Eric Weddle 41 yard interception return (Nate Kaeding kick),26,14
4.0,11:26,Chargers,Mike Tolbert 3 yard rush (Nate Kaeding kick),33,14
,5:25,Chargers,Nate Kaeding 20 yard field goal,36,14
