Unnamed: 0,BUF,NWE
First Downs,16,18
Rush-Yds-TDs,30-94-1,22-85-1
Cmp-Att-Yd-TD-INT,20-36-233-0-0,20-39-277-1-1
Sacked-Yards,2-8,1-6
Net Pass Yards,225,271
Total Yards,319,356
Fumbles-Lost,4-1,1-0
Turnovers,1,1
Penalties-Yards,5-44,5-61
Third Down Conv.,3-15,4-14
Fourth Down Conv.,1-1,0-0
Time of Possession,32:55,27:05
