Quarter,Time,Tm,Detail,NWE,HOU
1.0,11:19,Texans,Joel Dreessen 25 yard pass from Matt Schaub (Kris Brown kick),0,7
,0:50,Patriots,Fred Taylor 4 yard rush (Stephen Gostkowski kick),7,7
2.0,9:51,Patriots,Stephen Gostkowski 51 yard field goal,10,7
,4:41,Texans,Bernard Pollard -1 yard defensive fumble return (Kris Brown kick failed),10,13
,0:46,Patriots,Stephen Gostkowski 43 yard field goal,13,13
3.0,7:43,Patriots,Darius Butler 91 yard interception return (Stephen Gostkowski kick),20,13
4.0,14:04,Patriots,Fred Taylor 11 yard rush (Stephen Gostkowski kick),27,13
,9:41,Texans,Jacoby Jones 8 yard pass from Matt Schaub (Kris Brown kick),27,20
,4:43,Texans,Arian Foster 1 yard rush (Kris Brown kick),27,27
,1:54,Texans,Arian Foster 3 yard rush (Kris Brown kick),27,34
