Unnamed: 0,CIN,HOU
First Downs,27,23
Rush-Yds-TDs,33-169-2,17-166-1
Cmp-Att-Yd-TD-INT,29-38-371-2-0,24-33-324-3-0
Sacked-Yards,0-0,1-2
Net Pass Yards,371,322
Total Yards,540,488
Fumbles-Lost,0-0,4-1
Turnovers,0,1
Penalties-Yards,5-35,6-46
Third Down Conv.,6-13,4-9
Fourth Down Conv.,1-2,0-0
Time of Possession,36:10,23:50
