Quarter,Time,Tm,Detail,CIN,HOU
1.0,8:32,Bengals,Drew Sample 8 yard pass from Brandon Allen (Austin Seibert kick),7,0
,1:22,Texans,Ka'imi Fairbairn 21 yard field goal,7,3
2.0,3:30,Bengals,Austin Seibert 35 yard field goal,10,3
,1:54,Texans,Brandin Cooks 25 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),10,10
3.0,12:59,Bengals,Samaje Perine 46 yard rush (Austin Seibert kick),17,10
,9:05,Texans,David Johnson 4 yard rush (Ka'imi Fairbairn kick),17,17
,5:46,Bengals,Tee Higgins 20 yard pass from Brandon Allen (Austin Seibert kick),24,17
,0:55,Texans,David Johnson 2 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),24,24
4.0,10:35,Bengals,Austin Seibert 48 yard field goal,27,24
,6:15,Texans,Darren Fells 22 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),27,31
,1:57,Bengals,Samaje Perine 3 yard rush (Austin Seibert kick),34,31
,0:18,Bengals,Austin Seibert 36 yard field goal,37,31
