Quarter,Time,Tm,Detail,GNB,PHI
1.0,9:51,Packers,Davante Adams 12 yard pass from Aaron Rodgers (Mason Crosby kick),7,0
,3:40,Eagles,Carson Wentz 1 yard rush (Caleb Sturgis kick),7,7
2.0,14:53,Packers,Davante Adams 20 yard pass from Aaron Rodgers (Mason Crosby kick),14,7
,0:25,Eagles,Caleb Sturgis 48 yard field goal,14,10
3.0,8:48,Packers,Mason Crosby 33 yard field goal,17,10
,5:21,Eagles,Caleb Sturgis 50 yard field goal,17,13
4.0,13:53,Packers,Aaron Ripkowski 1 yard rush (Mason Crosby kick),24,13
,1:57,Packers,Mason Crosby 32 yard field goal,27,13
