Unnamed: 0,GNB,PHI
First Downs,25,20
Rush-Yds-TDs,28-74-1,18-81-1
Cmp-Att-Yd-TD-INT,30-39-313-2-0,24-36-254-0-1
Sacked-Yards,0-0,4-43
Net Pass Yards,313,211
Total Yards,387,292
Fumbles-Lost,1-0,1-0
Turnovers,0,1
Penalties-Yards,7-51,7-42
Third Down Conv.,10-14,5-11
Fourth Down Conv.,1-1,0-1
Time of Possession,35:23,24:37
