Quarter,Time,Tm,Detail,JAX,HOU
1.0,1:54,Texans,Ka'imi Fairbairn 39 yard field goal,0,3
2.0,3:17,Jaguars,Josh Lambo 40 yard field goal,3,3
,0:00,Texans,Ka'imi Fairbairn 22 yard field goal,3,6
4.0,11:35,Texans,Deshaun Watson 2 yard rush (Ka'imi Fairbairn kick),3,13
,6:01,Jaguars,Josh Lambo 32 yard field goal,6,13
,0:30,Jaguars,DJ Chark 4 yard pass from Gardner Minshew II (run failed),12,13
