Quarter,Time,Down,ToGo,Location,BAL,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Browns won the coin toss, Browns to receive the opening kickoff.",,
1,15:00,,,BAL 30,0,0,"Matt Stover kicks off 71 yards, returned by Josh Cribbs for 27 yards (tackle by Musa Smith)",0.000,0.670
1,14:54,1,10,CLE 26,0,0,Charlie Frye pass complete short right to Dennis Northcutt for no gain,0.670,0.130
1,14:28,2,10,CLE 26,0,0,Jason Wright right guard for no gain (tackle by Trevor Pryce and Bart Scott),0.130,-0.560
1,13:48,3,10,CLE 26,0,0,Charlie Frye sacked by Trevor Pryce for -10 yards,-0.560,-2.390
1,13:14,4,20,CLE 16,0,0,Dave Zastudil punts 53 yards,-2.390,-1.000
1,13:03,1,10,BAL 31,0,0,Jamal Lewis right guard for 6 yards (tackle by D'Qwell Jackson and Sean Jones),1.000,1.270
1,12:28,2,4,BAL 37,0,0,Steve McNair pass complete short right to Mark Clayton for 10 yards (tackle by Leigh Bodden),1.270,2.060
1,11:50,1,10,BAL 47,0,0,"Jamal Lewis for -1 yards. Jamal Lewis fumbles, recovered by Jamal Lewis at BAL-46",2.060,1.380
1,11:10,2,11,BAL 46,0,0,Jamal Lewis right guard for 5 yards (tackle by Sean Jones),1.380,1.360
1,10:30,3,6,CLE 49,0,0,Steve McNair pass complete short right to Mark Clayton for 5 yards (tackle by Andra Davis),1.360,0.330
1,9:49,4,1,CLE 44,0,0,"Sam Koch punts 28 yards, fair catch by Dennis Northcutt",0.330,0.140
1,9:42,1,10,CLE 16,0,0,Charlie Frye sacked by Bart Scott and Trevor Pryce for -9 yards,-0.140,-1.440
1,9:05,2,19,CLE 7,0,0,Jason Wright right guard for no gain (tackle by Kelly Gregg),-1.440,-2.470
1,8:25,3,19,CLE 7,0,0,Charlie Frye pass complete short left to Jerome Harrison for 2 yards (tackle by Adalius Thomas),-2.470,-2.490
1,7:48,4,17,CLE 9,0,0,"Dave Zastudil punts 49 yards, returned by B.J. Sams for 14 yards (tackle by Justin Hamilton)",-2.490,-2.650
1,7:35,1,10,CLE 44,0,0,Steve McNair pass complete short left to Mark Clayton for 15 yards (tackle by Willie McGinest). Penalty on Daven Holly: Illegal Contact (Declined),2.650,3.640
1,7:18,1,10,CLE 29,0,0,Jamal Lewis right guard for 3 yards (tackle by Ted Washington),3.640,3.510
1,6:44,2,7,CLE 26,0,0,Jamal Lewis right guard for 8 yards (tackle by Andra Davis and D'Qwell Jackson),3.510,4.370
1,6:03,1,10,CLE 18,0,0,Steve McNair pass incomplete short middle intended for Mark Clayton,4.370,3.800
1,5:57,2,10,CLE 18,0,0,Musa Smith left guard for 4 yards (tackle by Alvin McKinley and Andra Davis),3.800,3.630
1,5:14,3,6,CLE 14,0,0,Steve McNair pass incomplete short right intended for Musa Smith,3.630,2.530
1,5:09,4,6,CLE 14,3,0,Matt Stover 32 yard field goal good,2.530,3.000
1,,,,BAL 30,3,0,"Matt Stover kicks off 70 yards, touchback",0.000,0.280
1,5:05,1,10,CLE 20,3,0,Charlie Frye pass complete deep right to Braylon Edwards for 28 yards (tackle by Ed Reed),0.280,2.130
1,4:34,1,10,CLE 48,3,0,Jerome Harrison right guard for 2 yards (tackle by Haloti Ngata and Ray Lewis),2.130,1.850
1,3:58,2,8,,3,0,Jason Wright left end for -2 yards (tackle by Terrell Suggs),1.850,0.890
1,3:58,3,10,CLE 48,3,0,"Penalty on Trevor Pryce: Neutral Zone Infraction, 5 yards (no play)",0.890,1.550
1,2:57,3,5,BAL 47,3,0,Charlie Frye sacked by Terrell Suggs for -9 yards,1.550,-0.460
1,2:26,4,14,CLE 44,3,0,"Dave Zastudil punts 33 yards, returned by B.J. Sams for 1 yard (tackle by Justin Hamilton)",-0.460,-0.540
1,2:16,1,10,BAL 24,3,0,Steve McNair pass complete deep right to Derrick Mason for 37 yards,0.540,2.980
,,,,,,,"CLE challenged the ruling, and the play was upheld.",,
1,1:59,1,10,CLE 39,3,0,Jamal Lewis right guard for -1 yards (tackle by Alvin McKinley),2.980,2.300
1,1:18,2,11,CLE 40,3,0,Steve McNair sacked by Willie McGinest for -7 yards,2.300,0.700
1,0:42,3,18,CLE 47,3,0,Steve McNair pass incomplete deep left intended for Mark Clayton,0.700,0.130
1,0:35,4,18,CLE 47,3,0,"Sam Koch punts 33 yards, fair catch by Dennis Northcutt",0.130,0.280
1,0:27,1,10,CLE 14,3,0,"Charlie Frye pass complete short left to Kellen Winslow for 11 yards (tackle by Bart Scott and Dawan Landry). Penalty on Kellen Winslow: Taunting, 12 yards",-0.280,-0.320
Quarter,Time,Down,ToGo,Location,BAL,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CLE 13,3,0,Charlie Frye pass complete short right to Braylon Edwards for 12 yards,-0.320,0.610
2,14:34,1,10,CLE 25,3,0,Jason Wright right guard for 3 yards (tackle by Ray Lewis and Bart Scott),0.610,0.470
2,13:58,2,7,CLE 28,3,0,Charlie Frye pass complete short left to Dennis Northcutt for 27 yards (tackle by Ed Reed),0.470,2.590
2,13:08,1,10,BAL 45,3,0,Jason Wright left tackle for 2 yards (tackle by Aubrayo Franklin and Ray Lewis),2.590,2.310
2,12:32,2,8,BAL 43,3,0,Charlie Frye pass complete short right to Jason Wright for 3 yards (tackle by Dawan Landry),2.310,2.010
2,11:48,3,5,BAL 40,3,0,Charlie Frye pass incomplete short left intended for Dennis Northcutt (defended by Chris McAlister),2.010,0.590
2,11:44,4,5,BAL 40,3,0,"Dave Zastudil punts 40 yards, touchback",0.590,-0.280
2,11:35,1,10,BAL 20,3,0,Jamal Lewis left guard for 4 yards (tackle by D'Qwell Jackson),0.280,0.270
2,10:57,2,6,BAL 24,3,0,Jamal Lewis left guard for 3 yards (tackle by Sean Jones),0.270,-0.030
2,10:17,3,3,BAL 27,3,0,"Penalty on Keydrick Vincent: False Start, 5 yards (no play)",-0.030,-0.690
2,9:57,3,8,BAL 22,3,0,Steve McNair pass incomplete intended for Demetrius Williams (defended by Leigh Bodden),-0.690,-1.900
2,9:47,4,8,BAL 22,3,0,"Sam Koch punts 45 yards, returned by Dennis Northcutt for 9 yards (tackle by Ronnie Prude)",-1.900,-1.730
2,9:36,1,10,CLE 42,3,6,"Charlie Frye pass complete to Braylon Edwards for 58 yards, touchdown",1.730,7.000
2,,,,BAL 2,3,7,Phil Dawson kicks extra point good,0.000,0.000
2,,,,CLE 30,3,7,"Phil Dawson kicks off 70 yards, touchback",0.000,0.280
2,9:28,1,10,BAL 20,3,7,Jamal Lewis right guard for 4 yards (tackle by Simon Fraser),0.280,0.270
2,8:49,2,6,BAL 24,3,7,Steve McNair pass incomplete short middle intended for Derrick Mason,0.270,-0.430
2,8:44,3,6,BAL 24,3,7,Steve McNair pass complete short left to Musa Smith for 4 yards (tackle by Simon Fraser),-0.430,-1.500
2,8:12,4,2,BAL 28,3,7,"Sam Koch punts 38 yards, fair catch by Dennis Northcutt",-1.500,-1.200
2,8:03,1,10,CLE 34,3,7,Charlie Frye pass incomplete short left intended for Kellen Winslow,1.200,0.660
2,7:59,2,10,CLE 34,3,7,Charlie Frye pass complete short middle to Steve Heiden for 9 yards (tackle by Bart Scott),0.660,1.160
2,7:20,3,1,CLE 43,3,7,Jason Wright left tackle for 13 yards (tackle by Adalius Thomas),1.160,2.650
2,6:39,1,10,BAL 44,3,7,Charlie Frye sacked by Adalius Thomas for -6 yards,2.650,1.300
2,6:05,2,16,,3,7,Jerome Harrison left guard for -1 yards (tackle by Ray Lewis),1.300,0.500
2,5:21,3,17,CLE 49,3,7,Charlie Frye sacked by Bart Scott for -5 yards,0.500,-0.460
2,4:56,4,22,CLE 44,3,7,Dave Zastudil punts 44 yards (tackle by Matt Stewart),-0.460,-0.340
2,4:47,1,10,BAL 21,3,7,Steve McNair pass incomplete deep left intended for Mark Clayton,0.340,-0.200
2,4:43,2,10,BAL 21,3,7,Jamal Lewis left guard for 5 yards (tackle by Willie McGinest and Sean Jones),-0.200,-0.230
2,3:59,3,5,BAL 26,3,7,Steve McNair pass incomplete short left intended for Demetrius Williams,-0.230,-1.630
2,3:53,4,5,BAL 26,3,7,"Sam Koch punts 53 yards, returned by Dennis Northcutt for 5 yards (tackle by Gary Stills)",-1.630,-0.670
2,3:41,1,10,CLE 26,3,7,Jason Wright left guard for 1 yard (tackle by Justin Bannan),0.670,0.270
2,2:59,2,9,CLE 27,3,7,Charlie Frye pass complete short left to Braylon Edwards for 8 yards,0.270,0.630
2,2:35,3,1,CLE 35,3,7,Jason Wright right tackle for 2 yards (tackle by Justin Bannan),0.630,1.400
2,2:00,1,10,CLE 37,3,7,Charlie Frye pass incomplete short right intended for Dennis Northcutt,1.400,0.860
2,1:56,2,10,CLE 37,3,7,Charlie Frye pass complete to Dennis Northcutt for 5 yards (tackle by Samari Rolle),0.860,0.830
2,1:35,3,5,CLE 42,3,7,Charlie Frye pass complete short right to Kellen Winslow for 13 yards (tackle by Dawan Landry),0.830,2.590
2,1:10,1,10,BAL 45,3,7,Charlie Frye pass complete short right to Kellen Winslow for no gain,2.590,2.040
2,1:03,2,10,BAL 45,3,7,Charlie Frye pass complete deep right to Kellen Winslow for 24 yards (tackle by Dawan Landry),2.040,4.170
2,0:49,,,,3,7,Timeout #2 by Cleveland Browns,0.000,4.170
2,0:49,1,10,BAL 21,3,7,Charlie Frye pass complete short right to Braylon Edwards for 10 yards (tackle by Samari Rolle),4.170,4.840
2,0:44,1,10,BAL 11,3,7,Charlie Frye middle for 5 yards (tackle by Trevor Pryce),4.840,5.080
2,0:33,,,,3,7,Timeout #3 by Cleveland Browns,0.000,5.080
2,0:33,2,5,BAL 6,3,7,"Charlie Frye pass incomplete short right intended for Braylon Edwards. Penalty on Chris McAlister: Defensive Pass Interfere, 5 yards (no play)",5.080,6.970
2,0:29,1,1,BAL 1,3,13,"Charlie Frye right guard for 1 yard, touchdown",6.970,7.000
2,,,,BAL 2,3,14,Phil Dawson kicks extra point good,0.000,0.000
2,,,,CLE 30,3,14,"Phil Dawson kicks off 70 yards, touchback",0.000,0.280
2,0:22,1,10,BAL 20,3,14,Steve McNair kneels for -1 yards,0.280,-0.460
Quarter,Time,Down,ToGo,Location,BAL,CLE,Detail,EPB,EPA
3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter,3rd Quarter
3,15:00,,,CLE 30,3,14,"Phil Dawson kicks off 70 yards, touchback",0.000,0.280
3,15:00,1,10,BAL 20,3,14,Jamal Lewis right tackle for 21 yards (tackle by D'Qwell Jackson),0.280,1.660
3,14:36,1,10,BAL 41,3,14,Jamal Lewis right guard for 3 yards (tackle by Ted Washington and Alvin McKinley),1.660,1.530
3,13:56,2,7,BAL 44,3,14,Steve McNair pass incomplete short left intended for Todd Heap,1.530,0.830
3,13:52,3,7,BAL 44,3,14,Steve McNair pass complete short right to Musa Smith for 8 yards (tackle by Ralph Brown),0.830,2.390
3,13:13,1,10,CLE 48,3,14,Musa Smith right guard for 3 yards (tackle by Andra Davis and Alvin McKinley),2.390,2.250
3,12:27,2,7,CLE 45,3,14,Steve McNair pass incomplete short right intended for Todd Heap (defended by Sean Jones),2.250,1.550
3,12:22,3,7,CLE 45,3,14,Steve McNair pass incomplete short middle intended for Demetrius Williams (defended by Ralph Brown),1.550,0.270
3,12:15,4,7,CLE 45,3,14,"Sam Koch punts 38 yards, returned by Mason Unck for no gain",0.270,0.380
3,12:04,1,10,CLE 7,3,14,Charlie Frye pass complete short middle to Steve Heiden for 9 yards (tackle by Ed Reed),-0.380,-0.020
3,11:23,2,1,CLE 16,3,14,Jason Wright left guard for 1 yard (tackle by Bart Scott and Ray Lewis),-0.020,-0.060
3,10:54,1,10,CLE 17,3,14,Charlie Frye pass incomplete deep right intended for Dennis Northcutt,-0.060,-0.580
3,10:49,2,10,CLE 17,3,14,Charlie Frye sacked by Kelly Gregg for -3 yards,-0.580,-1.720
3,10:12,3,13,CLE 14,3,14,Charlie Frye pass incomplete short right intended for Jason Wright,-1.720,-2.470
3,10:07,4,13,CLE 14,3,14,"Dave Zastudil punts 53 yards, returned by B.J. Sams for 6 yards (tackle by Brodney Pool). Penalty on Gerome Sapp: Illegal Block Above the , 10 yards",-2.470,-0.870
3,9:58,1,10,BAL 29,3,14,Steve McNair pass incomplete intended for Jamal Lewis,0.870,0.330
3,9:51,2,10,BAL 29,3,14,Jamal Lewis left tackle for 4 yards (tackle by Daven Holly),0.330,0.170
3,9:24,3,6,BAL 33,3,14,Steve McNair pass complete deep left to Derrick Mason for 19 yards (tackle by Leigh Bodden),0.170,2.390
,,,,,,,"CLE challenged the ruling, and the play was upheld.",,
3,8:37,1,10,CLE 48,3,14,Musa Smith right guard for 1 yard (tackle by Ethan Kelley and Ted Washington),2.390,1.980
3,8:03,2,9,CLE 47,3,14,Steve McNair pass complete short left to Todd Heap for 8 yards (tackle by Leigh Bodden and Sean Jones),1.980,2.340
3,7:22,3,1,CLE 39,3,14,Jamal Lewis left guard for 2 yards (tackle by Andra Davis),2.340,3.120
3,6:41,1,10,CLE 37,3,14,Steve McNair sacked by Simon Fraser for -3 yards,3.120,2.170
3,6:01,2,13,CLE 40,3,14,Jamal Lewis right guard for 5 yards (tackle by Kamerion Wimbley and D'Qwell Jackson),2.170,2.150
3,5:17,3,8,CLE 35,3,14,Steve McNair pass complete short left to Todd Heap for 7 yards (tackle by Chaun Thompson and Leigh Bodden),2.150,1.720
3,4:30,4,1,CLE 28,3,14,Jamal Lewis left guard for -2 yards (tackle by Matt Stewart),1.720,-1.000
3,4:25,1,10,CLE 31,3,14,Jason Wright left tackle for 2 yards (tackle by Dawan Landry),1.000,0.730
3,3:48,2,8,CLE 33,3,14,Charlie Frye pass incomplete short left intended for Braylon Edwards (defended by Terrell Suggs),0.730,0.040
3,3:48,3,8,CLE 33,3,14,"Penalty on Kellen Winslow: False Start, 5 yards (no play)",0.040,-0.630
3,3:45,3,13,CLE 28,3,14,Charlie Frye pass incomplete short right intended for Braylon Edwards (defended by Adalius Thomas),-0.630,-1.500
3,3:41,4,13,CLE 28,3,14,Dave Zastudil punts 40 yards,-1.500,-1.070
3,3:30,1,10,BAL 32,3,14,Steve McNair pass incomplete short right intended for Todd Heap (defended by Sean Jones),1.070,0.530
3,3:26,2,10,BAL 32,3,14,Steve McNair pass complete short right to Todd Heap for 6 yards (tackle by Brian Russell),0.530,0.630
3,2:49,3,4,BAL 38,3,14,Steve McNair pass complete short middle to Mark Clayton for 6 yards (tackle by Simon Fraser and Kamerion Wimbley),0.630,1.860
3,2:11,1,10,BAL 44,3,14,Steve McNair pass complete deep left to Derrick Mason for 38 yards (tackle by Brian Russell),1.860,4.370
3,1:40,1,10,CLE 18,3,14,"Jamal Lewis left guard for 2 yards (tackle by D'Qwell Jackson). Penalty on Tony Pashos: Illegal Formation, 5 yards (no play)",4.370,4.040
3,1:16,1,15,CLE 23,3,14,Steve McNair pass complete short right to Derrick Mason for 10 yards (tackle by Brian Russell),4.040,4.610
3,0:32,2,5,CLE 13,3,14,Jamal Lewis left tackle for 10 yards (tackle by Sean Jones),4.610,6.510
Quarter,Time,Down,ToGo,Location,BAL,CLE,Detail,EPB,EPA
4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter,4th Quarter
4,15:00,1,3,CLE 3,9,14,"Steve McNair pass complete short middle to Todd Heap for 3 yards, touchdown",6.510,7.000
4,,,,,9,14,"Two Point Attempt: Steve McNair pass incomplete intended for Todd Heap, conversion fails",1.000,-1.000
4,,,,BAL 30,9,14,"Matt Stover kicks off 70 yards, touchback",0.000,0.280
4,14:56,1,10,CLE 20,9,14,Charlie Frye pass incomplete short right intended for Braylon Edwards,0.280,-0.270
4,14:53,2,10,CLE 20,9,14,Charlie Frye pass incomplete short right intended for Steve Heiden,-0.270,-0.960
4,14:45,3,10,CLE 20,9,14,Charlie Frye pass incomplete short left intended for Braylon Edwards (defended by Corey Ivy),-0.960,-2.030
4,14:40,4,10,CLE 20,9,14,"Dave Zastudil punts 46 yards, returned by B.J. Sams for -1 yards (tackle by Josh Cribbs)",-2.030,-1.140
4,14:30,1,10,BAL 33,9,14,Steve McNair pass complete short left to Derrick Mason for 11 yards (tackle by Brian Russell),1.140,1.860
4,13:50,1,10,BAL 44,9,14,Steve McNair pass incomplete short right intended for Jamal Lewis,1.860,1.320
4,13:45,2,10,BAL 44,9,14,Jamal Lewis left guard for 1 yard (tackle by Ted Washington),1.320,0.760
4,13:02,3,9,BAL 45,9,14,Steve McNair pass complete short middle to Mark Clayton for 16 yards (tackle by Daven Holly),0.760,2.980
4,12:24,1,10,CLE 39,9,14,Jamal Lewis left tackle for 1 yard (tackle by Daven Holly),2.980,2.580
4,11:44,2,9,CLE 38,9,14,Steve McNair pass complete short right to Derrick Mason for 9 yards (tackle by Daven Holly),2.580,3.640
4,11:22,1,10,CLE 29,9,14,Steve McNair pass incomplete short right intended for Todd Heap,3.640,3.100
4,11:16,2,10,CLE 29,9,14,Jamal Lewis right tackle for 4 yards (tackle by Ted Washington and Leigh Bodden),3.100,2.940
4,10:33,3,6,CLE 25,9,14,Steve McNair pass incomplete short right intended for Todd Heap (defended by Leigh Bodden),2.940,1.830
4,10:26,4,6,CLE 25,12,14,Matt Stover 43 yard field goal good,1.830,3.000
4,,,,BAL 30,12,14,"Matt Stover kicks off 70 yards, touchback",0.000,0.280
4,10:22,1,10,CLE 20,12,14,Charlie Frye pass complete short left to Lawrence Vickers for 29 yards (tackle by Ed Reed),0.280,2.190
4,9:54,1,10,CLE 49,12,14,Jason Wright left tackle for 2 yards (tackle by Trevor Pryce and Ray Lewis),2.190,1.920
4,9:12,2,8,BAL 49,12,14,Charlie Frye sacked by Bart Scott and Kelly Gregg for -6 yards,1.920,0.430
4,8:36,3,14,CLE 45,12,14,Charlie Frye pass complete short left to Kellen Winslow for 21 yards (tackle by Jarret Johnson),0.430,3.310
4,7:42,,,,12,14,Timeout #1 by Baltimore Ravens,0.000,3.310
4,7:42,1,10,BAL 34,12,14,Jason Wright left guard for 3 yards (tackle by Ray Lewis and Kelly Gregg),3.310,3.180
4,7:01,2,7,BAL 31,12,14,Charlie Frye pass incomplete short right intended for Terrelle Smith (defended by Bart Scott),3.180,2.480
4,6:57,3,7,BAL 31,12,14,Charlie Frye pass complete short left to Kellen Winslow for 7 yards (tackle by Ed Reed),2.480,3.970
4,6:27,1,10,BAL 24,12,14,Jason Wright left guard for 4 yards (tackle by Kelly Gregg),3.970,3.970
4,5:42,2,6,BAL 20,12,14,Jason Wright right tackle for no gain (tackle by Kelly Gregg),3.970,3.270
4,4:58,3,6,BAL 20,12,14,Charlie Frye pass complete short right to Kellen Winslow for 16 yards (tackle by Dawan Landry),3.270,6.280
4,4:11,1,4,BAL 4,12,14,Jason Wright right guard for no gain (tackle by Aubrayo Franklin and Ed Reed),6.280,5.340
4,3:28,2,4,BAL 4,12,14,Charlie Frye pass incomplete short middle intended for Braylon Edwards is intercepted by Chris McAlister at BAL-0,5.340,-0.280
4,3:21,1,10,BAL 20,12,14,Jamal Lewis right guard for 1 yard (tackle by Ethan Kelley and Andra Davis),0.280,-0.130
4,2:46,2,9,BAL 21,12,14,Steve McNair pass complete short middle to Daniel Wilcox for 10 yards (tackle by Brian Russell and Andra Davis),-0.130,1.000
4,2:09,1,10,BAL 31,12,14,Mark Clayton left end for -6 yards (tackle by Alvin McKinley),1.000,-0.350
4,1:59,2,16,BAL 25,12,14,Steve McNair pass complete short right to Todd Heap for 12 yards (tackle by Sean Jones),-0.350,0.560
4,1:54,3,4,BAL 37,12,14,Steve McNair pass complete short right to Mark Clayton for 8 yards (tackle by Daven Holly and Brodney Pool),0.560,1.930
4,1:25,1,10,BAL 45,12,14,Steve McNair pass complete short middle to Mark Clayton for 6 yards (tackle by Daven Holly),1.930,2.190
4,1:03,2,4,CLE 49,12,14,Steve McNair pass incomplete intended for Todd Heap (defended by Brodney Pool),2.190,1.490
4,0:58,3,4,CLE 49,12,14,Steve McNair pass complete short middle to Mark Clayton for 8 yards (tackle by Daven Holly),1.490,2.850
4,0:40,1,10,CLE 41,12,14,Steve McNair pass complete short right to Derrick Mason for 8 yards (tackle by Leigh Bodden). Penalty on Kamerion Wimbley: Defensive Offside (Declined),2.850,3.390
4,0:33,2,2,CLE 33,12,14,Steve McNair pass incomplete intended for Derrick Mason (defended by Willie McGinest),3.390,2.680
4,0:29,,,,12,14,Timeout #2 by Baltimore Ravens,0.000,0.000
4,0:29,,,,12,14,Timeout #2 by Cleveland Browns,0.000,2.680
4,0:29,3,2,CLE 33,12,14,Steve McNair pass incomplete short right intended for Ovie Mughelli,2.680,1.200
4,0:24,4,2,CLE 33,15,14,Matt Stover 52 yard field goal good,1.200,3.000
4,,,,BAL 30,15,14,"Matt Stover kicks off 66 yards, returned by Josh Cribbs for 21 yards (tackle by Dawan Landry)",0.000,0.610
4,0:15,1,10,CLE 25,15,14,"Charlie Frye pass complete short middle to Josh Cribbs for 6 yards (tackle by Gary Stills). Josh Cribbs fumbles (forced by Gary Stills), recovered by Gary Stills at CLE-32",0.610,-3.450
4,0:05,1,10,CLE 32,15,14,Steve McNair kneels for -1 yards,3.450,2.770
End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation,End of Regulation
