Quarter,Time,Tm,Detail,IND,JAX
1.0,6:18,Jaguars,Marqise Lee 4 yard pass from Blake Bortles (Josh Lambo kick),0,7
2.0,12:43,Jaguars,Josh Lambo 30 yard field goal,0,10
,7:02,Colts,Adam Vinatieri 27 yard field goal,3,10
,1:55,Jaguars,Keelan Cole 8 yard pass from Blake Bortles,3,16
3.0,10:34,Jaguars,Leonard Fournette 5 yard rush (Marcedes Lewis pass from Blake Bortles),3,24
,6:40,Colts,T.Y. Hilton 40 yard pass from Jacoby Brissett (Adam Vinatieri kick),10,24
,0:34,Jaguars,Josh Lambo 23 yard field goal,10,27
4.0,2:53,Jaguars,Josh Lambo 39 yard field goal,10,30
