Unnamed: 0,IND,JAX
First Downs,17,22
Rush-Yds-TDs,26-141-0,27-96-1
Cmp-Att-Yd-TD-INT,21-36-174-1-2,27-36-338-2-0
Sacked-Yards,4-25,1-8
Net Pass Yards,149,330
Total Yards,290,426
Fumbles-Lost,1-0,1-0
Turnovers,2,0
Penalties-Yards,4-31,6-55
Third Down Conv.,5-15,9-15
Fourth Down Conv.,4-4,1-1
Time of Possession,26:13,33:47
