Quarter,Time,Tm,Detail,DEN,NWE
1.0,13:09,Patriots,Wes Welker 7 yard pass from Tom Brady (Stephen Gostkowski kick),0,7
,6:42,Patriots,Rob Gronkowski 10 yard pass from Tom Brady (Stephen Gostkowski kick),0,14
2.0,14:54,Broncos,Willis McGahee 5 yard rush (Matt Prater kick),7,14
,7:42,Patriots,Rob Gronkowski 12 yard pass from Tom Brady (Stephen Gostkowski kick),7,21
,1:57,Patriots,Deion Branch 61 yard pass from Tom Brady (Stephen Gostkowski kick),7,28
,0:05,Patriots,Rob Gronkowski 19 yard pass from Tom Brady (Stephen Gostkowski kick),7,35
3.0,11:46,Patriots,Aaron Hernandez 17 yard pass from Tom Brady (Stephen Gostkowski kick),7,42
,2:14,Broncos,Matt Prater 41 yard field goal,10,42
4.0,12:39,Patriots,Stephen Gostkowski 20 yard field goal,10,45
