Quarter,Time,Down,ToGo,Location,DEN,CLE,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Broncos won the coin toss, Broncos to receive the opening kickoff.",,
1,15:00,,,CLE 30,0,0,"Phil Dawson kicks off 63 yards, returned by Eddie Royal for 31 yards (tackle by Terry Cousin)",0.000,1.470
1,14:52,1,10,DEN 38,0,0,Jay Cutler pass complete deep middle to Tony Scheffler for 39 yards (tackle by Brodney Pool),1.470,4.040
1,14:16,1,10,CLE 23,0,0,Jay Cutler pass incomplete short left intended for Brandon Marshall,4.040,3.500
1,14:10,2,10,CLE 23,0,0,Ryan Torain left guard for 3 yards (tackle by Willie McGinest and D'Qwell Jackson),3.500,3.200
1,13:34,3,7,CLE 20,0,0,Jay Cutler pass incomplete deep left intended for Brandon Stokley,3.200,2.120
1,13:27,4,7,CLE 20,0,0,Matt Prater 38 yard field goal no good,2.120,-0.810
1,13:23,1,10,CLE 28,0,0,Jamal Lewis left guard for 2 yards (tackle by Jamie Winborn),0.810,0.530
1,12:50,2,8,CLE 30,0,0,Brady Quinn pass incomplete short right intended for Kellen Winslow Jr. (defended by Jamie Winborn),0.530,-0.160
1,12:44,3,8,CLE 30,0,0,Brady Quinn pass complete short right to Syndric Steptoe for 7 yards (tackle by Marquand Manuel),-0.160,-0.910
1,12:04,4,1,CLE 37,0,0,"Dave Zastudil punts 51 yards, returned by Eddie Royal for 2 yards (tackle by Josh Cribbs)",-0.910,0.280
1,11:51,1,10,DEN 14,0,0,Ryan Torain left tackle for 1 yard (tackle by Shaun Smith),-0.280,-0.640
1,11:21,2,9,DEN 15,0,0,Jay Cutler pass complete short left to Brandon Marshall for 15 yards (tackle by Brodney Pool),-0.640,0.940
1,10:47,1,10,DEN 30,0,0,Jay Cutler pass complete short right to Nate Jackson for 7 yards (tackle by D'Qwell Jackson),0.940,1.340
1,10:13,2,3,DEN 37,0,0,Jay Cutler pass complete deep left to Brandon Marshall for 34 yards (tackle by Brandon McDonald),1.340,3.640
1,9:32,1,10,CLE 29,0,0,Jay Cutler pass complete short right to Eddie Royal for 7 yards (tackle by Andra Davis),3.640,4.050
1,9:00,2,3,CLE 22,0,0,Ryan Torain left tackle for 3 yards (tackle by Kamerion Wimbley),4.050,4.310
1,8:25,1,10,CLE 19,0,0,Jay Cutler pass complete deep right to Eddie Royal for 18 yards (tackle by Eric Wright),4.310,6.970
1,7:41,1,1,CLE 1,0,0,Ryan Torain right guard for no gain (tackle by Willie McGinest and Andra Davis),6.970,5.910
1,7:08,2,1,CLE 1,6,0,"Ryan Torain right guard for 1 yard, touchdown",5.910,7.000
1,,,,CLE 2,7,0,Matt Prater kicks extra point good,0.000,0.000
1,,,,DEN 30,7,0,"Matt Prater kicks off 66 yards, returned by Josh Cribbs for 37 yards (tackle by Roderick Rogers)",0.000,1.660
1,6:55,1,10,CLE 41,7,0,Brady Quinn pass complete short right to Donte Stallworth for 18 yards (tackle by Dre' Bly),1.660,2.850
1,6:33,1,10,DEN 41,7,0,Jamal Lewis left tackle for 8 yards (tackle by Calvin Lowry),2.850,3.390
1,5:53,2,2,DEN 33,7,0,Jamal Lewis right guard for 29 yards (tackle by Wesley Woodyard and Marquand Manuel),3.390,6.280
1,5:08,1,4,DEN 4,7,0,Jamal Lewis right guard for 3 yards (tackle by Marquand Manuel),6.280,5.910
1,4:27,2,1,DEN 1,7,0,Jamal Lewis left tackle for -4 yards (tackle by Wesley Woodyard),5.910,4.260
1,3:47,3,5,DEN 5,7,6,"Brady Quinn pass complete short middle to Kellen Winslow Jr. for 5 yards, touchdown",4.260,7.000
1,,,,DEN 2,7,7,Phil Dawson kicks extra point good,0.000,0.000
1,,,,CLE 30,7,7,"Phil Dawson kicks off 73 yards, returned by Eddie Royal for 27 yards (tackle by Josh Cribbs)",0.000,0.540
1,3:32,1,10,DEN 24,7,7,Jay Cutler pass complete short right to Eddie Royal for 8 yards (tackle by Alex Hall),0.540,1.080
1,3:00,2,2,DEN 32,7,7,Ryan Torain left guard for 19 yards (tackle by Sean Jones),1.080,2.320
1,2:22,1,10,CLE 49,7,7,Jay Cutler pass incomplete deep right intended for Brandon Marshall,2.320,1.780
1,2:13,2,10,CLE 49,7,7,Ryan Torain right tackle for 4 yards (tackle by Willie McGinest and Corey Williams),1.780,1.620
1,1:32,3,6,CLE 45,7,7,Jay Cutler pass incomplete short right intended for Brandon Stokley (defended by Terry Cousin),1.620,0.270
1,1:25,4,6,CLE 45,7,7,"Brett Kern punts 29 yards, returned by Josh Cribbs for 5 yards (tackle by Spencer Larsen)",0.270,-0.340
1,1:15,1,10,CLE 21,7,7,Jerome Harrison right tackle for 13 yards (tackle by Karl Paymah),0.340,1.200
1,0:44,1,10,CLE 34,7,7,Brady Quinn pass complete short left to Jerome Harrison for 9 yards (tackle by Wesley Woodyard),1.200,1.870
1,0:06,2,1,CLE 43,7,7,Jerome Harrison left guard for 2 yards (tackle by Kenny Peterson),1.870,1.930
Quarter,Time,Down,ToGo,Location,DEN,CLE,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,1,10,CLE 45,7,7,Jerome Harrison left guard for 16 yards (tackle by Karl Paymah),1.930,2.980
2,14:33,1,10,DEN 39,7,7,Jerome Harrison left end for 13 yards (tackle by Karl Paymah),2.980,3.840
2,14:05,1,10,DEN 26,7,7,Brady Quinn pass incomplete short right intended for Braylon Edwards,3.840,3.300
2,13:57,2,10,DEN 26,7,7,"Jamal Lewis left tackle for 5 yards (tackle by Jamie Winborn). Penalty on Jamie Winborn: Unnecessary Roughness, 10 yards",3.300,4.840
2,13:57,1,10,DEN 11,7,7,Jamal Lewis left guard for 4 yards (tackle by Jamie Winborn and Nic Clemons),4.840,4.890
2,12:57,2,6,DEN 7,7,7,Brady Quinn pass incomplete short left intended for Braylon Edwards,4.890,3.980
2,12:52,3,6,DEN 7,7,7,Brady Quinn pass incomplete short middle intended for Steve Heiden,3.980,2.980
2,12:48,4,6,DEN 7,7,10,Phil Dawson 24 yard field goal good,2.980,3.000
2,,,,CLE 30,7,10,"Phil Dawson kicks off 69 yards, returned by Eddie Royal for 14 yards (tackle by Nick Sorensen)",0.000,-0.220
2,12:39,1,10,DEN 15,7,10,Jay Cutler pass incomplete deep right intended for Brandon Marshall (defended by Eric Wright),-0.220,-0.710
2,12:32,2,10,DEN 15,7,10,"Ryan Torain left tackle for 8 yards (tackle by D'Qwell Jackson). Penalty on Daniel Graham: Offensive Holding, 10 yards",-0.710,-0.920
2,12:04,,,,7,10,Timeout #1 by Denver Broncos,0.000,-0.920
2,12:00,2,12,DEN 13,7,10,Jay Cutler pass incomplete deep middle intended for Brandon Marshall is intercepted by Brodney Pool at DEN-33 and returned for 13 yards (tackle by Nate Jackson),-0.920,-4.240
2,11:53,1,10,DEN 20,7,10,Jamal Lewis right guard for no gain (tackle by Jamie Winborn),4.240,3.690
2,11:19,2,10,DEN 20,7,10,Brady Quinn pass complete short left to Steve Heiden for 4 yards (tackle by Marquand Manuel),3.690,3.520
2,10:36,3,6,DEN 16,7,16,"Brady Quinn pass complete short left to Kellen Winslow Jr. for 16 yards, touchdown",3.520,7.000
2,,,,DEN 2,7,17,Phil Dawson kicks extra point good,0.000,0.000
2,,,,CLE 30,7,17,"Phil Dawson kicks off 54 yards, returned by Peyton Hillis for 7 yards (tackle by Josh Cribbs)",0.000,0.480
2,10:24,1,10,DEN 23,7,17,Ryan Torain left tackle for 7 yards (tackle by D'Qwell Jackson and Kamerion Wimbley),0.480,0.880
2,9:53,2,3,DEN 30,7,17,Ryan Torain left tackle for 7 yards (tackle by Sean Jones),0.880,1.400
2,9:21,1,10,DEN 37,7,17,Ryan Torain left tackle for 9 yards (tackle by Shaun Rogers and D'Qwell Jackson),1.400,2.070
2,8:39,2,1,DEN 46,7,17,Jay Cutler pass complete short right to Tony Scheffler for 5 yards (tackle by Brodney Pool),2.070,2.320
2,8:21,1,10,CLE 49,7,17,Ryan Torain left tackle for 6 yards (tackle by Ahtyba Rubin),2.320,2.590
2,8:21,2,4,CLE 43,7,17,Jay Cutler pass complete deep left to Tony Scheffler for 24 yards (tackle by Brodney Pool),2.590,4.310
2,7:23,1,10,CLE 19,7,17,Selvin Young left tackle for 2 yards (tackle by Sean Jones),4.310,4.030
2,6:54,2,8,CLE 17,7,17,Jay Cutler pass incomplete short right intended for Daniel Graham,4.030,3.260
2,6:48,3,8,CLE 17,7,17,"Jay Cutler pass incomplete deep left intended for Tony Scheffler. Penalty on Tony Scheffler: Offensive Pass Interference, 10 yards (no play)",3.260,2.020
2,6:38,3,18,CLE 27,7,17,Jay Cutler pass complete short middle to Brandon Marshall for 10 yards (tackle by Terry Cousin),2.020,2.310
2,5:55,4,8,CLE 17,10,17,Matt Prater 35 yard field goal good,2.310,3.000
2,,,,DEN 30,10,17,"Matt Prater kicks off 70 yards, touchback",0.000,0.280
2,5:48,1,10,CLE 20,10,17,Brady Quinn pass complete short left to Kellen Winslow Jr. for 15 yards (tackle by Marquand Manuel),0.280,1.270
2,5:22,1,10,CLE 35,10,17,Jamal Lewis right tackle for 2 yards (tackle by Dewayne Robertson),1.270,0.990
2,4:43,2,8,CLE 37,10,17,Brady Quinn pass complete short left to Kellen Winslow Jr. for 6 yards (tackle by Jamie Winborn),0.990,1.090
2,4:03,3,2,CLE 43,10,17,Brady Quinn pass complete short middle to Steve Heiden for 14 yards (tackle by Marquand Manuel),1.090,2.720
2,3:26,1,10,DEN 43,10,17,Jamal Lewis left tackle for no gain (tackle by Wesley Woodyard),2.720,2.180
2,2:42,2,10,DEN 43,10,17,Brady Quinn pass complete short middle to Kellen Winslow Jr. for 6 yards (tackle by Jamie Winborn),2.180,2.280
2,2:00,3,4,DEN 37,10,17,Brady Quinn pass complete short middle to Kellen Winslow Jr. for 2 yards (tackle by Dre' Bly),2.280,0.990
2,1:14,,,,10,17,Timeout #1 by Cleveland Browns,0.000,0.990
2,1:14,4,2,DEN 35,10,20,Phil Dawson 52 yard field goal good,0.990,3.000
2,,,,CLE 30,10,20,"Phil Dawson kicks off 70 yards, touchback",0.000,0.280
2,1:09,1,10,DEN 20,10,20,Jay Cutler pass incomplete short middle intended for Brandon Marshall,0.280,-0.270
2,1:05,2,10,DEN 20,10,20,Jay Cutler pass complete short middle to Brandon Stokley for 7 yards (tackle by Terry Cousin),-0.270,-0.030
2,0:48,3,3,DEN 27,10,20,Jay Cutler pass complete short left to Brandon Marshall for 10 yards (tackle by Sean Jones),-0.030,1.400
