Unnamed: 0,DEN,CLE
First Downs,26,20
Rush-Yds-TDs,28-123-1,29-160-1
Cmp-Att-Yd-TD-INT,24-42-447-3-1,23-35-239-2-0
Sacked-Yards,1-6,0-0
Net Pass Yards,441,239
Total Yards,564,399
Fumbles-Lost,0-0,1-1
Turnovers,1,1
Penalties-Yards,3-30,3-20
Third Down Conv.,6-11,6-14
Fourth Down Conv.,1-1,1-2
Time of Possession,27:51,32:09
