Unnamed: 0,CHI,MIN
First Downs,24,24
Rush-Yds-TDs,28-146-2,23-93-1
Cmp-Att-Yd-TD-INT,21-34-248-0-0,19-31-360-2-0
Sacked-Yards,2-9,4-10
Net Pass Yards,239,350
Total Yards,385,443
Fumbles-Lost,2-1,4-2
Turnovers,1,2
Penalties-Yards,14-101,11-70
Third Down Conv.,4-11,4-9
Fourth Down Conv.,0-1,0-1
Time of Possession,32:01,27:59
