Unnamed: 0,WAS,PHI
First Downs,16,16
Rush-Yds-TDs,27-103-0,29-118-2
Cmp-Att-Yd-TD-INT,22-32-162-2-2,13-33-119-0-2
Sacked-Yards,3-17,3-21
Net Pass Yards,145,98
Total Yards,248,216
Fumbles-Lost,2-0,1-1
Turnovers,2,3
Penalties-Yards,5-56,6-41
Third Down Conv.,6-15,5-14
Fourth Down Conv.,0-0,1-2
Time of Possession,30:48,29:12
