Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Antonio Gibson,WAS,19,75,0,3,49,2.6,26,1.4,2,9.5
Peyton Barber,WAS,4,10,0,2,7,1.8,3,0.8,0,
J.D. McKissic,WAS,2,0,0,0,-2,-1.0,2,1.0,1,2.0
Steven Sims,WAS,1,18,0,1,1,1.0,17,17.0,0,
Alex Smith,WAS,1,0,0,0,0,0.0,0,0.0,0,
Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br
Boston Scott,PHI,15,65,0,2,47,3.1,18,1.2,0,
Jalen Hurts,PHI,8,34,2,4,30,3.8,4,0.5,1,8.0
Jason Huntley,PHI,2,5,0,,1,0.5,4,2.0,1,2.0
Nate Sudfeld,PHI,2,12,0,1,12,6.0,0,0.0,0,
Corey Clement,PHI,1,1,0,,1,1.0,0,0.0,0,
John Hightower,PHI,1,1,0,,0,0.0,1,1.0,0,
