Unnamed: 0,GNB,WAS
First Downs,16,22
Rush-Yds-TDs,12-38-0,38-166-0
Cmp-Att-Yd-TD-INT,23-35-194-2-0,20-33-201-2-1
Sacked-Yards,0-0,1-3
Net Pass Yards,194,198
Total Yards,232,364
Fumbles-Lost,3-1,0-0
Turnovers,1,1
Penalties-Yards,9-69,7-54
Third Down Conv.,0-6,7-16
Fourth Down Conv.,0-1,0-0
Time of Possession,22:53,37:07
