Unnamed: 0,NWE,PHI
First Downs,29,23
Rush-Yds-TDs,36-104-2,17-73-1
Cmp-Att-Yd-TD-INT,24-34-361-3-0,26-48-400-1-1
Sacked-Yards,1-8,2-7
Net Pass Yards,353,393
Total Yards,457,466
Fumbles-Lost,0-0,0-0
Turnovers,0,1
Penalties-Yards,3-20,10-60
Third Down Conv.,6-11,4-13
Fourth Down Conv.,0-0,1-2
Time of Possession,32:43,27:17
