Quarter,Time,Down,ToGo,Location,NWE,PHI,Detail,EPB,EPA
1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter,1st Quarter
,,,,,,,"Eagles won the coin toss, Eagles to receive the opening kickoff.",,
1,15:00,,,NWE 35,0,0,"Stephen Gostkowski kicks off 69 yards, returned by Dion Lewis for 20 yards (tackle by Sergio Brown)",0.000,-0.140
1,14:55,1,10,PHI 16,0,0,Vince Young pass complete deep right to Brent Celek for 22 yards (tackle by James Ihedigbo),-0.140,1.470
1,14:18,1,10,PHI 38,0,0,Vince Young pass incomplete short left intended for LeSean McCoy,1.470,0.920
1,14:15,2,10,PHI 38,0,0,Vince Young pass complete deep middle to Riley Cooper for 58 yards (tackle by Kyle Arrington),0.920,6.280
1,13:28,1,4,NWE 4,0,0,LeSean McCoy left tackle for 2 yards (tackle by Tony Carter),6.280,5.720
1,12:50,2,2,NWE 2,0,6,"LeSean McCoy right tackle for 2 yards, touchdown",5.720,7.000
1,,,,NWE 2,0,7,Alex Henery kicks extra point good,0.000,0.000
1,,,,PHI 35,0,7,"Alex Henery kicks off 70 yards, returned by Danny Woodhead for 23 yards (tackle by Colt Anderson)",0.000,0.040
1,12:39,1,10,NWE 18,0,7,Tom Brady pass complete short left to Rob Gronkowski for 5 yards (tackle by Cullen Jenkins),0.040,0.280
1,12:04,2,5,NWE 23,0,7,BenJarvus Green-Ellis left end for 6 yards (tackle by Brandon Hughes),0.280,0.870
1,11:31,1,10,NWE 29,0,7,Tom Brady pass incomplete short right intended for Wes Welker,0.870,0.330
1,11:27,2,10,NWE 29,0,7,BenJarvus Green-Ellis right end for 8 yards (tackle by Joselio Hanson),0.330,0.700
1,10:49,3,2,NWE 37,0,7,Tom Brady pass incomplete short left intended for Wes Welker (defended by Jamar Chaney),0.700,-0.910
1,10:44,4,2,NWE 37,0,7,"Zoltan Mesko punts 43 yards, fair catch by DeSean Jackson",-0.910,-0.280
1,10:36,1,10,PHI 20,0,7,Vince Young pass complete deep middle to DeSean Jackson for 44 yards (tackle by Kyle Arrington),0.280,3.180
1,9:54,1,10,NWE 36,0,7,Vince Young pass complete short left to Riley Cooper for 6 yards (tackle by Antwaun Molden),3.180,3.450
1,9:19,2,4,NWE 30,0,7,LeSean McCoy up the middle for 5 yards (tackle by Tracy White),3.450,3.910
1,8:37,1,10,NWE 25,0,7,Vince Young pass incomplete deep middle intended for DeSean Jackson,3.910,3.360
1,8:32,2,10,NWE 25,0,7,Vince Young pass incomplete short left intended for LeSean McCoy,3.360,2.680
1,8:27,,,,0,7,Timeout #1 by Philadelphia Eagles,0.000,2.680
1,8:27,3,10,NWE 25,0,7,Vince Young pass incomplete short left intended for LeSean McCoy,2.680,1.800
1,8:23,4,10,NWE 25,0,10,Alex Henery 43 yard field goal good,1.800,3.000
1,,,,PHI 35,0,10,"Alex Henery kicks off 65 yards, touchback",0.000,0.280
1,8:19,1,10,NWE 20,0,10,BenJarvus Green-Ellis right guard for 5 yards (tackle by Jamar Chaney),0.280,0.410
1,7:43,2,5,NWE 25,0,10,BenJarvus Green-Ellis right end for 3 yards (tackle by Nate Allen),0.410,0.100
1,7:16,3,2,NWE 28,0,10,"BenJarvus Green-Ellis right tackle for no gain (tackle by Jamar Chaney). Penalty on Brian Rolle: Defensive 12 On-field, 5 yards (no play)",0.100,1.140
1,7:05,1,10,NWE 33,0,10,Tom Brady pass complete deep middle to Rob Gronkowski for 16 yards (tackle by Kurt Coleman),1.140,2.190
1,6:20,1,10,NWE 49,0,10,BenJarvus Green-Ellis right guard for no gain (tackle by Cullen Jenkins),2.190,1.650
1,5:43,2,10,NWE 49,0,10,Tom Brady pass complete short right to Deion Branch for 5 yards (tackle by Joselio Hanson),1.650,1.620
1,5:04,3,5,PHI 46,0,10,Tom Brady pass complete short left to Wes Welker for 10 yards (tackle by Brandon Hughes),1.620,3.180
1,4:28,1,10,PHI 36,0,10,BenJarvus Green-Ellis left tackle for 3 yards (tackle by Nate Allen),3.180,3.040
1,3:55,2,7,PHI 33,0,10,BenJarvus Green-Ellis left end for 6 yards (tackle by Darryl Tapp),3.040,3.140
1,3:27,,,,0,10,Timeout #2 by Philadelphia Eagles,0.000,3.140
1,3:27,3,1,PHI 27,0,10,"Penalty on Derek Landri: Encroachment, 5 yards (no play)",3.140,4.110
1,3:27,1,10,PHI 22,0,10,BenJarvus Green-Ellis left end for 3 yards (tackle by Derek Landri),4.110,3.970
1,2:50,2,7,PHI 19,0,10,BenJarvus Green-Ellis up the middle for 4 yards (tackle by Jason Babin),3.970,3.930
1,2:06,3,3,PHI 15,0,10,Tom Brady pass complete short right to Aaron Hernandez for 11 yards (tackle by Kurt Coleman),3.930,6.280
1,1:32,1,4,PHI 4,6,10,"BenJarvus Green-Ellis up the middle for 4 yards, touchdown",6.280,7.000
1,,,,PHI 2,7,10,Stephen Gostkowski kicks extra point good,0.000,0.000
1,,,,NWE 35,7,10,"Stephen Gostkowski kicks off 65 yards, touchback",0.000,0.280
1,1:27,1,10,PHI 20,7,10,Vince Young pass complete short middle to LeSean McCoy for 7 yards (tackle by Gary Guyton),0.280,0.680
1,0:49,2,3,PHI 27,7,10,Vince Young sacked by Rob Ninkovich for -7 yards. Penalty on Evan Mathis: Offensive Holding (Declined),0.680,-0.960
1,0:22,3,10,PHI 20,7,10,Vince Young left end for 8 yards (tackle by Jerod Mayo),-0.960,-1.500
Quarter,Time,Down,ToGo,Location,NWE,PHI,Detail,EPB,EPA
2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter,2nd Quarter
2,15:00,4,2,PHI 28,7,10,"Chas Henry punts 47 yards, returned by Julian Edelman for 14 yards (tackle by Jon Dorenbos)",-1.500,-1.530
