Unnamed: 0,GNB,SEA
First Downs,19,20
Rush-Yds-TDs,30-135-0,35-194-2
Cmp-Att-Yd-TD-INT,19-34-178-1-2,15-30-228-2-4
Sacked-Yards,1-7,5-25
Net Pass Yards,171,203
Total Yards,306,397
Fumbles-Lost,1-0,2-1
Turnovers,2,5
Penalties-Yards,5-45,8-40
Third Down Conv.,3-14,8-16
Fourth Down Conv.,0-0,1-1
Time of Possession,32:15,31:04
