Quarter,Time,Tm,Detail,GNB,SEA
1,8:07,Packers,Mason Crosby 18 yard field goal,3,0
,5:07,Packers,Mason Crosby 19 yard field goal,6,0
,0:00,Packers,Randall Cobb 13 yard pass from Aaron Rodgers (Mason Crosby kick),13,0
2,9:37,Packers,Mason Crosby 40 yard field goal,16,0
3,4:44,Seahawks,Garry Gilliam 19 yard pass from Jon Ryan (Stephen Hauschka kick),16,7
4,10:53,Packers,Mason Crosby 48 yard field goal,19,7
,2:09,Seahawks,Russell Wilson 1 yard rush (Stephen Hauschka kick),19,14
,1:25,Seahawks,Marshawn Lynch 24 yard rush (Luke Willson pass from Russell Wilson),19,22
,0:14,Packers,Mason Crosby 48 yard field goal,22,22
OT,11:41,Seahawks,Jermaine Kearse 35 yard pass from Russell Wilson,22,28
