Unnamed: 0,KAN,BUF
First Downs,27,20
Rush-Yds-TDs,46-245-1,23-84-0
Cmp-Att-Yd-TD-INT,21-26-225-2-0,14-27-122-2-1
Sacked-Yards,1-4,0-0
Net Pass Yards,221,122
Total Yards,466,206
Fumbles-Lost,2-1,0-0
Turnovers,1,1
Penalties-Yards,8-68,4-39
Third Down Conv.,9-14,4-9
Fourth Down Conv.,1-1,0-0
Time of Possession,37:45,22:15
